ID,activity,rdMD_123,rdMD_71,fcfp4_807,rdMD_1,fcfp4_33,rdMD_312,rdMD_277,rdMD_266,rdMD_261,rdMD_50,rdMD_20,rdMD_30,rdMD_52,fcfp4_25,rdMD_76,rdMD_221,rdMD_315,rdMD_314,rdMD_264,rdMD_29
53798267,0.675687,0.8162,31.29486937,1,63.49,0,1.365,1.201,-0.099,0.001,6.066367068,7.755072201,3.023714039,66.06819939,0,0.0,-0.222,0.807,1.139,-0.454,4.55404073
53827576,1.611925,2.2571,22.43071761,0,66.64,0,1.289,0.939,0.299,0.214,43.32193961,7.486791362,3.310441304,0.0,0,0.0,-0.099,0.888,0.72,-0.289,4.563639539
177444153,0.675687,2.3392,7.047671983,0,60.91,0,0.824,0.666,-0.085,0.056,30.33183534,4.242357076,2.336868358,24.37141854,0,21.89935141,0.056,1.151,1.07,0.087,3.203419363
49964398,0.675687,0.6002,20.01325001,0,77.63,0,1.621,1.069,-0.187,0.053,0.0,4.245724539,2.176036175,13.59242839,0,0.0,-0.162,0.452,0.89,-0.235,3.163538607
49130722,0.800854,3.7053,11.34374492,0,44.81,0,1.104,1.168,-0.604,0.111,31.89811458,9.202847806,3.646168523,25.32165549,0,0.0,-0.185,1.649,1.653,0.148,5.316051963
222766824,0.675687,1.5297,4.794537184,0,52.57,0,1.902,0.926,-0.147,0.02,25.68328649,6.707778431,3.149064077,25.55217526,0,0.0,-0.1,0.336,1.11,-0.412,4.735400411
429280,1.506505,2.6117,13.08951281,0,79.7,0,0.782,0.846,-0.174,0.088,25.12722656,7.282403957,3.605093728,30.42932246,1,11.16387794,-0.083,1.451,0.904,0.247,5.807966145
45763976,0.675687,1.01934,6.544756406,1,59.98,0,0.982,1.148,-0.515,0.407,5.156663257,4.339678588,1.735604278,13.59242839,0,0.0,-0.119,1.441,1.371,-0.026,2.5084971
3596324,1.018034,2.5558,11.21535881,0,61.34,0,1.403,1.09,-0.003,0.168,30.33183534,6.945502844,4.646356661,31.36349632,0,11.03340144,-0.151,1.104,0.904,-0.21,6.093318866
233395,0.675687,1.5897,13.59242839,0,46.84,0,1.461,1.163,-0.405,0.412,0.0,5.48446712,2.684888362,44.29770872,0,0.0,-0.173,1.07,1.35,-0.541,3.743445774
49159718,0.751356,2.9343,21.67306523,0,64.85,0,0.754,1.069,-0.353,0.203,48.53093655,6.357641631,3.285130935,12.67659081,0,5.687386275,0.178,1.234,1.342,-0.07,5.821503621
324135965,0.892095,3.8074,11.28161936,1,98.5,0,0.896,0.896,0.337,-0.047,6.066367068,9.401659014,3.297626501,30.11209731,0,10.90292493,-0.087,0.787,0.606,-0.002,5.26256439
43144048,1.167849,3.9552,19.63426922,0,47.67,0,0.662,1.027,0.046,0.141,54.59730362,7.444354337,3.770845074,32.02795636,0,22.64523548,-0.026,1.088,0.925,0.201,5.251461968
42885549,1.129883,3.1948,10.15185342,1,76.83,0,0.768,0.805,-0.199,0.238,37.25557254,5.62418924,2.803306635,13.21376393,0,22.8420314,-0.04,1.353,1.028,0.137,4.419441169
LN01345100,1.329093,2.7534,4.794537184,0,108.27,0,1.248,1.133,-0.046,0.111,24.11953552,8.748900802,4.246963876,13.08951281,0,16.85126421,-0.197,0.996,0.931,-0.144,5.801924786
152649,0.675687,2.89612,4.794537184,0,33.2,0,1.485,1.011,-0.061,0.19,12.99010427,5.984336255,2.588134589,36.81609647,0,0.0,-0.115,0.925,0.845,-0.424,3.639670605
265647,1.137607,3.10342,15.95222176,1,80.24,0,1.072,0.956,0.04,-0.104,32.10799748,8.092316829,2.895335725,23.84397672,0,0.0,-0.104,1.222,0.809,-0.135,5.178714709
