ID,activity,rdMD_123,rdMD_124,fcfp4_25,rdMD_50,fcfp4_33,rdMD_261,rdMD_1,rdMD_277,fcfp4_927,rdMD_64,rdMD_25,rdMD_309,rdMD_313,rdMD_312,rdMD_61,rdMD_270,rdMD_230,rdMD_45,rdMD_275,rdMD_245
43242674,1.02792,1.31802,65.9407,0,0.0,0,-0.265,41.05,1.324,0,32.08476651,5.902089946,1.083,0.501,0.951,15.28474565,0.87,0.101,10.21669833,0.357,-0.373
49968158,1.02792,1.39862,67.5254,0,6.066367068,0,0.197,67.93,1.259,0,17.68124919,5.36146886,0.636,0.746,1.41,14.95193556,0.85,0.133,10.63357721,1.322,-0.37
171789858,2.183557,1.87082,109.7103,0,11.62981856,0,0.015,77.23,1.073,0,39.26853844,10.39268861,0.593,0.725,1.13,14.69972919,0.903,-0.069,19.32349779,0.915,-0.205
49310649,3.39964,2.4785,89.159,0,30.33183534,0,0.592,46.84,1.297,0,11.44466614,7.987523287,0.335,1.092,1.338,19.51903521,0.723,0.329,9.467009379,1.022,-0.312
36427432,3.575703,4.0744,81.927,0,19.05647134,0,-0.048,44.49,1.073,0,14.21959508,6.872917737,0.89,1.389,0.696,4.983978521,0.938,-0.036,13.89087684,1.048,-0.189
53751988,2.749438,3.2716,104.131,0,12.13273414,0,-0.051,79.37,1.243,0,17.81160768,10.27739687,0.831,0.918,1.179,9.883888252,0.961,0.29,4.899909731,0.833,-0.514
49339585,1.02792,3.1805,87.2013,1,12.13273414,1,-0.002,57.61,0.705,1,6.544756406,8.006163197,0.646,0.907,1.164,4.899909731,0.692,0.083,10.00643713,0.809,-0.04
36256386,2.33028,2.48012,76.9642,0,0.0,0,-0.065,72.95,1.0,0,5.316788604,6.507066066,0.861,1.013,1.057,14.76446326,1.117,-0.147,9.733939541,0.706,-0.139
49354299,1.02792,1.7054,54.6877,0,0.0,0,-0.245,42.74,0.943,0,5.316788604,4.677947032,0.895,0.318,1.297,14.76446326,0.825,0.077,5.316788604,0.865,-0.157
48831006,2.575941,3.80022,100.6837,0,6.066367068,0,0.026,67.87,1.022,0,23.36833671,9.315475756,0.61,1.151,1.605,0.0,0.797,0.183,14.37363564,0.966,-0.183
