ID,activity,rdMD_167,rdMD_123,rdMD_97,rdMD_68,rdMD_2,rdMD_70,rdMD_171,rdMD_166,rdMD_52,rdMD_76,rdMD_245,rdMD_18,rdMD_254,rdMD_305,rdMD_229,rdMD_9,rdMD_270,rdMD_253,rdMD_301,rdMD_168
27368582,1.751279,5.802,4.2769,8,22.58680789,0.307692308,41.24844814,5.372,5.695,31.74247712,10.77244843,-0.089,-3.14,0.195,1.616,-0.106,3,0.549,-0.136,1.136,5.813
48761324,1.109579,4.632,2.6609,5,17.28512516,0.538461538,36.9468341,4.092,4.898,26.80619232,10.76787112,0.04,-1.4,0.467,1.21,-0.009,2,1.064,-0.089,1.043,4.789
89942329,-0.744727,6.393,4.1688,11,28.40467067,0.125,26.57882272,6.616,6.466,11.45259128,10.90292493,-0.037,-4.79,0.182,1.079,-0.04,4,0.567,-0.035,0.725,6.43
48631332,1.550962,5.379,4.5291,8,0.0,0.391304348,28.18678616,5.482,5.544,17.87765292,0.0,0.042,-2.46,0.127,0.987,0.069,3,0.887,0.123,0.842,5.424
36008838,1.269046,5.02,2.9501,5,16.85126421,0.5,21.49669197,3.367,4.943,12.74159998,11.03340144,-0.294,-1.58,0.333,0.909,-0.294,2,0.714,-0.294,1.176,4.963
LN01313047,1.344392,5.529,3.4196,3,17.36837657,0.294117647,36.09011468,4.871,5.27,25.34618173,0.0,0.09,-2.56,0.088,1.008,0.089,1,0.653,0.055,0.882,5.248
3021139,-0.522879,5.328,2.84788,7,28.147781,0.266666667,23.05746985,4.582,5.214,13.08951281,22.2635988,-0.238,-2.61,-0.084,1.077,-0.245,3,0.975,-0.242,1.096,5.264
3664558,1.50853,5.456,3.3377,8,23.12705262,0.388888889,30.25856807,5.015,5.561,24.2164158,11.38785599,-0.068,-2.61,-0.027,0.759,-0.018,3,0.961,0.043,0.882,5.715
31413760,1.495544,5.105,3.09576,3,34.80281967,0.0,5.106527395,0.0,4.593,0.0,0.0,0.0,-1.13,-0.047,1.874,0.0,1,0.879,0.0,0.765,5.316
48544545,1.414137,5.631,2.63938,8,10.90292493,0.263157895,46.27767091,5.075,5.444,36.73403772,22.16030442,-0.181,-2.88,-0.075,1.188,-0.194,3,0.75,-0.205,1.063,5.459
49654440,1.565494,5.449,2.4181,5,5.907179729,0.5,64.11503893,4.925,5.302,37.30592861,11.38785599,-0.127,-2.21,0.17,0.952,-0.129,2,0.661,-0.123,1.12,5.483
48831006,1.507721,5.327,3.80022,3,23.37519235,0.6,36.85707537,4.914,5.459,18.83902465,0.0,-0.183,-2.08,0.163,1.09,-0.199,1,0.797,-0.224,1.147,5.488
32444518,1.582404,5.147,1.7887,6,5.687386275,0.090909091,9.967957042,4.427,5.282,6.420821623,0.0,-0.106,-1.97,-0.087,1.006,-0.125,2,0.818,-0.103,0.754,4.543
36677683,1.90725,5.802,3.651,6,23.18913201,0.3,18.86203144,5.488,5.737,30.40671765,0.0,-0.079,-2.69,0.016,0.605,-0.098,2,0.652,-0.093,0.782,5.813
1530520,1.356599,5.748,3.8942,6,28.94501773,0.380952381,51.09578893,5.302,5.565,25.32165549,0.0,-0.181,-2.64,-0.189,0.662,-0.204,2,0.757,-0.262,1.191,5.571
43070449,1.513883,5.534,3.7758,8,16.67962816,0.263157895,15.4582579,5.199,5.452,17.95713863,22.16030442,-0.109,-2.62,0.177,1.272,-0.121,3,0.638,-0.137,0.983,5.755
133983,1.758155,4.905,0.747,2,11.87648502,0.583333333,44.7529197,3.887,4.855,32.75484999,0.0,-0.131,-1.85,-0.1,1.399,-0.135,1,0.654,-0.108,1.099,4.66
