ID,activity,rdMD_123,rdMD_4,rdMD_73,rdMD_309,rdMD_2,rdMD_16,rdMD_68,rdMD_266,rdMD_70,rdMD_64,rdMD_67,rdMD_314,rdMD_303,rdMD_225,rdMD_18,rdMD_1,rdMD_238,rdMD_177,rdMD_74,rdMD_272
CHEMBL1916288,0.640481437,4.1567,0,49.31031696,0.821,0.291666667,0,21.74833366,0.128,30.14730229,4.722094864,11.75660759,0.89,1.214,-0.063,-3.71,116.88,0.097,1.905,53.42642002,1.496
CHEMBL782,0.281033367,1.78302,0,25.32883194,0.958,0.416666667,0,16.05440567,-0.426,20.9936679,6.544756406,0.0,1.498,1.376,-0.231,-1.56,75.27,0.459,0.806,29.16095175,0.973
CHEMBL271013,0.6599162,2.7535,0,12.48718869,0.579,0.266666667,0,44.39518922,0.065,32.70718575,17.65733805,0.0,0.773,1.356,0.182,-1.9,96.95,0.186,4.086,35.48827182,1.44
CHEMBL488937,0.698100546,3.47022,0,16.00405018,0.645,0.210526316,0,17.02417215,-0.26,11.17398161,12.34054944,5.749511833,1.425,1.188,-0.044,-2.53,57.25,-0.013,0.534,58.83601301,0.352
CHEMBL2164360,0.045322979,5.3742,0,34.71142269,0.787,0.2,0,16.67962816,-0.106,26.92714415,0.0,11.62950017,0.909,0.606,-0.145,-4.01,76.38,0.649,0.85,72.92688132,0.968
CHEMBL213556,1.286680969,2.2235,1,40.53659204,0.781,0.8,0,17.58817002,-0.208,58.39520329,0.0,0.0,0.984,1.118,-0.154,-2.05,97.22,0.168,1.089,5.155712727,0.625
175109,1.988550039,1.2425,2,54.70732291,0.824,0.6875,2,5.907179729,-0.564,47.71733876,26.24115118,0.0,1.757,0.872,0.006,-1.53,76.14,-0.146,0.256,12.39368714,1.017
474380,1.887859133,1.3506,0,6.9237372,0.902,0.125,0,11.594566,0.082,11.01370712,5.316788604,5.749511833,1.322,1.08,0.017,-1.51,49.33,-0.067,0.079,24.26546827,1.208
CHEMBL1389370,0.894316063,3.7086,1,37.81602063,0.747,0.608695652,1,43.4057527,-0.188,72.33414766,62.6990007,0.0,1.184,1.116,-0.13,-2.03,66.41,0.003,1.163,6.327320075,1.43
CHEMBL896,0.912753304,3.0559,1,17.16874381,0.537,0.428571429,1,11.60093989,-0.024,67.45077478,52.54442792,0.0,1.016,0.577,0.01,-1.43,35.94,-0.114,0.692,54.59730362,0.401
CHEMBL564737,0.949390007,4.5203,0,59.24090709,0.607,0.363636364,0,23.47742491,-0.1,34.23534702,6.544756406,11.12690298,1.085,1.035,-0.078,-2.37,86.63,0.121,1.102,42.46456948,0.944
CHEMBL602180,0.820201459,2.1474,1,12.84164325,0.5,0.357142857,1,5.817862778,-0.021,35.15124592,25.09922008,17.26784433,1.048,0.92,-0.133,-2.17,51.14,-0.1,0.132,30.59278835,1.361
CHEMBL2207663,1.127428778,2.98962,1,34.32653491,0.775,0.454545455,1,17.50811962,0.031,59.28455378,26.17902562,5.749511833,0.801,0.944,0.173,-2.56,94.66,0.231,1.46,35.25684903,0.908
CHEMBL1288103,0.025305865,4.0186,1,23.19963192,0.795,0.263157895,1,44.74891241,0.115,30.02251189,18.40630142,10.44059869,0.737,0.97,0.038,-2.22,80.04,-0.017,2.46,30.46231185,1.003
CHEMBL1917449,0.631443769,3.47892,0,12.61766519,0.778,0.157894737,0,49.90498925,-0.102,29.96790904,5.316788604,0.0,1.09,0.916,0.183,-2.84,105.47,0.079,4.975,52.25553643,0.788
CHEMBL152640,0.602059991,5.26446,0,49.30214912,0.648,0.178571429,0,23.02470524,-0.012,21.79540735,0.0,11.81873315,1.095,1.002,-0.169,-4.37,90.41,0.044,0.17,59.82918765,1.11
CHEMBL2325635,-0.091514981,4.92248,1,11.60529232,1.078,0.136363636,1,49.69351529,0.28,36.27177306,17.81160768,28.82562447,0.645,1.014,0.166,-3.14,121.93,0.015,6.547,59.7537401,0.768
CHEMBL165790,-0.27572413,4.2472,0,13.8474744,0.749,0.166666667,0,10.96924436,0.303,6.103966388,0.0,16.87641482,0.65,1.178,-0.207,-2.55,39.44,-0.161,0.146,64.00578766,1.037
CHEMBL2059870,0.252853031,5.23866,0,33.00322415,0.76,0.192307692,0,11.594566,0.17,20.67164299,5.316788604,16.87641482,0.878,0.994,-0.2,-3.93,69.04,-0.06,0.166,66.86051426,1.333
CHEMBL646,1.161966616,4.23352,1,22.77571198,0.756,0.117647059,0,28.91356478,-0.244,20.47614827,0.0,5.687386275,1.242,0.92,-0.049,-2.17,43.07,-0.087,2.445,47.45697421,0.738
CHEMBL225519,1.767526899,1.3626,1,16.05191667,0.933,0.166666667,0,5.907179729,0.01,22.41989318,6.544756406,11.25737949,0.967,1.051,0.09,-2.1,57.78,0.046,0.064,30.59278835,0.995
CHEMBL1880028,0.301029996,3.3671,0,5.563451492,0.738,0.071428571,0,5.897745344,0.191,16.21152576,0.0,11.49902367,0.752,0.794,-0.189,-2.49,62.05,-0.046,0.146,59.75301634,1.011
CHEMBL481220,0.23299611,3.8945,1,24.20546308,0.69,0.333333333,1,33.87226349,0.095,55.12173198,43.44339594,5.749511833,0.735,0.892,-0.009,-3.46,83.72,-0.134,0.584,36.52867891,0.643
CHEMBL461574,0.075546961,5.28334,0,36.85050403,0.922,0.15,0,33.83961359,0.313,16.79833798,10.63357721,0.0,0.625,0.896,-0.137,-3.2,71.09,0.413,1.479,48.66141305,0.8
CHEMBL559968,0.447158031,2.2001,0,15.92144017,0.982,0.111111111,0,29.10905951,-0.265,27.2163994,6.544756406,5.687386275,1.35,1.03,0.003,-2.9,96.85,0.097,1.287,58.25048742,0.951
CHEMBL2177173,0.894316063,1.905,2,28.89355992,0.672,0.384615385,2,27.43571994,-0.197,89.69815815,57.3666665,11.25737949,1.116,0.827,-0.048,-3.45,137.65,0.148,0.942,53.81784953,0.735
CHEMBL1950728,1.523616419,2.8728,1,63.85376167,0.614,0.692307692,1,11.81435946,-0.207,61.52173288,26.6819412,0.0,1.297,0.773,0.164,-1.92,73.47,0.109,0.333,30.33183534,1.624
CHEMBL16073,1.813314059,2.0437,0,13.8474744,0.916,0.3,0,11.594566,-0.28,12.51406169,11.92367057,5.749511833,1.406,0.965,0.131,-1.51,38.33,-0.118,0.086,24.26546827,0.918
CHEMBL340978,-0.619788758,4.3363,0,18.40509474,0.854,0.125,0,28.66996604,0.196,16.0598112,0.0,11.45417541,0.744,1.245,-0.038,-2.33,63.33,0.106,0.725,46.88172042,0.487
CHEMBL321590,0.922206277,2.3356,1,11.12690298,0.791,0.272727273,0,11.79549069,0.101,34.7579939,6.606881965,0.0,0.833,1.092,-0.345,-2.32,74.41,0.22,0.852,28.34721866,0.933
CHEMBL407960,0.152288344,4.3795,0,5.563451492,1.079,0.142857143,0,16.72078771,-0.002,29.40093722,19.53638369,23.12852384,0.993,1.285,0.148,-3.74,81.29,-0.089,0.283,60.79414719,0.891
