ID,activity,rdMD_123,rdMD_2,rdMD_255,rdMD_68,rdMD_166,rdMD_65,rdMD_57,rdMD_294,rdMD_73,rdMD_64,rdMD_239,rdMD_177,rdMD_309,rdMD_18,rdMD_266,rdMD_167,rdMD_247,rdMD_74,rdMD_300,rdMD_245
CHEMBL1073,0.350248018,2.07812,0.428571429,-0.061,21.9615854,6.159,53.6104629,15.93047088,0.661,53.84995278,6.544756406,-0.147,1.052,0.866,-3.01,-0.323,6.084,-0.208,41.55463889,0.592,-0.445
50406362,0.622421274,2.9976,0.45,0.033,28.4522041,5.603,35.23579893,0.0,0.938,20.7712116,24.53417895,0.011,1.368,0.656,-2.29,0.05,5.775,-0.055,24.39594478,0.903,-0.08
CHEMBL2338409,1.144574208,3.1428,0.578947368,-0.127,35.14017402,5.832,33.80781932,5.907179729,0.566,37.5500219,32.72378203,-0.253,1.22,0.902,-1.5,-0.423,5.41,-0.044,18.19910121,0.69,-0.123
CHEMBL513389,1.334252642,2.60992,0.647058824,0.291,0.0,4.748,28.82308861,0.0,1.069,43.8823877,6.606881965,0.298,0.097,0.711,-1.06,0.041,4.637,0.316,12.13273414,0.725,-0.094
322748925,1.615287063,2.0774,0.2,-0.279,23.31960851,5.829,48.41945048,5.907179729,0.818,23.19963192,10.63357721,-0.34,0.231,0.945,-2.76,-0.127,5.738,-0.351,42.85599899,1.24,-0.168
189741166,1.950724994,2.09512,0.210526316,-0.059,17.46153668,5.91,71.42994137,5.907179729,0.77,27.52673249,13.08951281,-0.098,0.457,0.788,-3.22,-0.015,5.974,-0.086,48.92236606,1.102,-0.175
CHEMBL1807820,-0.086186148,4.454,0.346153846,0.101,44.08773989,5.716,75.39170638,0.0,0.984,23.65169099,37.80898395,0.043,1.194,0.709,-2.36,-0.052,5.714,-0.013,59.3918408,1.134,0.003
CHEMBL152640,-0.494850022,5.26446,0.178571429,-0.08,23.02470524,5.839,99.23539205,5.907179729,0.709,49.30214912,0.0,-0.038,0.17,0.648,-4.37,-0.012,6.079,-0.049,59.82918765,0.735,0.042
CHEMBL1389471,-1.045757491,5.8956,0.125,-0.233,34.22236561,5.988,94.53054539,0.0,0.773,22.45060189,5.316788604,-0.135,1.5,0.807,-3.82,0.035,5.86,-0.058,71.34398462,0.988,-0.121
CHEMBL479,-0.15490196,5.8856,0.428571429,-0.14,34.89854245,5.267,42.46456948,0.0,1.011,25.68328649,31.29286371,-0.078,3.528,0.461,-1.1,0.184,5.29,-0.138,57.15101991,1.279,0.005
CHEMBL1797387,-0.522878745,6.49802,0.111111111,-0.189,46.58344602,5.879,68.6070221,0.0,0.637,11.32369891,5.316788604,-0.28,3.369,0.816,-2.28,0.344,5.792,0.021,40.92129735,0.852,0.034
CHEMBL421,-0.537602002,3.7016,0.0,-0.452,33.18523177,6.137,72.42396575,10.02329115,0.72,10.35798868,4.722094864,-0.392,0.79,0.996,-3.79,0.172,6.182,-0.266,81.98449798,1.018,-0.334
CHEMBL841,0.7355989,5.088,0.344827586,-0.128,17.50811962,5.832,106.6421267,0.0,0.688,35.95281934,33.72961318,-0.148,0.716,0.465,-2.66,-0.169,5.847,-0.108,84.92913896,0.938,-0.069
CHEMBL1503948,-0.27572413,3.71394,0.133333333,-0.147,37.26408394,5.875,53.03564467,10.02329115,0.875,10.57107519,4.722094864,-0.288,3.348,0.973,-1.92,-0.502,5.833,-0.009,47.36005295,0.672,-0.483
CHEMBL1916260,-0.677780705,3.475,0.5,-0.354,21.74833366,5.988,42.09213041,5.907179729,0.763,62.73039281,4.722094864,-0.366,1.362,0.727,-2.35,0.458,5.808,-0.232,36.52867891,0.919,-0.444
