n_samples,mse,rmse,mae,r2,pearson_r
50,0.42000499683852005,0.648077924973934,0.5193327356137479,0.27615118641705594,0.5399715316581722
55,0.40918137836617025,0.6396728682429561,0.5157228431751226,0.29480492494125987,0.5540132141604758
60,0.40356911558595593,0.6352708993696752,0.5105998242225859,0.30447726166475775,0.5639559715587046
65,0.4017834283290588,0.6338638878568953,0.5062002544189853,0.30755476696127726,0.5595262109172959
70,0.40638413584850064,0.6374826553315005,0.5157983292307692,0.2996257739620094,0.555382549305018
75,0.4031773618813781,0.6349624885624174,0.5155724600327332,0.30515242138049903,0.5572042968090637
80,0.4090122012410221,0.6395406173504714,0.5151872601636661,0.2950964897136926,0.5451329646346591
85,0.4110260300324563,0.6411131179694082,0.5178566821440262,0.2916257986685591,0.5400632849639129
90,0.4040283304589817,0.6356322289335097,0.5096964609492635,0.3036858374114242,0.5518865901252803
95,0.40485001197056614,0.6362782504302391,0.5118627609001637,0.3022697276227777,0.5517533022974763
100,0.40030451028968145,0.6326962227559775,0.5092233035351882,0.31010357727603,0.5575991722090895
105,0.4170333875470316,0.645781222665255,0.5136112253355156,0.2812725442015276,0.5396452753382104
110,0.40200606071486783,0.6340394788298815,0.5062401010474632,0.3071710758396333,0.5581220793636916
115,0.402455463807452,0.6343937766146922,0.5054503915220949,0.3063965614937656,0.5589905030090381
120,0.4071625761381053,0.638092921241182,0.5061646058265139,0.2982841873515717,0.553417178263105
125,0.4080472036592887,0.63878572593577,0.5084117797381341,0.296759594581268,0.5547501605918775
130,0.4144375755868983,0.6437682623327267,0.5095062891325697,0.28574624194743636,0.5490569682211616
135,0.4019300279595397,0.6339795169873705,0.5020707565139116,0.30730211289907783,0.5622265076696079
140,0.39659545172108224,0.6297582486328244,0.49884412386252047,0.3164958765691319,0.5689347654494304
145,0.40402323603137624,0.6356282215504407,0.5062385625040917,0.30369461729596314,0.5630532120321743
150,0.403644583712102,0.6353302949742772,0.506051383584288,0.3043471977036494,0.561985149888776
155,0.39092256571725786,0.6252380072558432,0.49843902026186576,0.326272693117432,0.57775754680139
160,0.3938599354038205,0.6275826124135535,0.5017982607037643,0.3212103448628223,0.5709343592862719
