n_samples,mse,rmse,mae,r2,pearson_r
50,0.31305867574850677,0.5595164660208909,0.4573348291423948,0.1830793508375108,0.4462398963756599
55,0.320216006542839,0.565876317354631,0.4697093871521036,0.16440243250967101,0.43122156538672374
60,0.3388885217955608,0.5821413245901383,0.48358086606796113,0.11567685975472797,0.4120928354992887
65,0.3263281864401502,0.571251421390048,0.47603898378640774,0.14845281553269052,0.43020762878014995
70,0.3302382449337903,0.5746635928382712,0.47777512391585747,0.13824959239807977,0.4150690684725909
75,0.32835128837538224,0.5730194485140816,0.47576542483818757,0.14317356958207095,0.41281416968430595
80,0.3294274062712574,0.5739576694071239,0.4838728189158576,0.140365460437765,0.3995303034854422
85,0.332659759683376,0.5767666423115817,0.48369414619741097,0.13193069579999517,0.38868395850659926
90,0.3360278089333262,0.5796790568351821,0.48277397877022643,0.1231418354590319,0.37554755705131854
95,0.32280147294911443,0.5681562047088058,0.46978152710355986,0.15765570718748534,0.4098577675101833
100,0.32066995764430656,0.5662772798235035,0.4656440602427185,0.16321785576024128,0.423796921668743
105,0.330881057320645,0.575222615446094,0.4692316884304207,0.13657218572310592,0.4197877513706851
110,0.3240159547893062,0.5692239935116107,0.46600667495145626,0.1544865399669526,0.42446098763393136
115,0.3224551922117168,0.5678513821518063,0.46384144839805824,0.15855932017348862,0.4289124288717555
120,0.31993397600903845,0.5656270644241119,0.4587249936731392,0.1651383858136486,0.43300878754285166
125,0.320536077729015,0.5661590569168835,0.4574767636407767,0.16356721284816833,0.4362693685327351
130,0.3207832193867302,0.5663772765451756,0.4599294196763754,0.1629223014015424,0.44257247666877647
135,0.31843967475316554,0.5643045939500808,0.45552790928802583,0.16903773646755826,0.45330158102926
140,0.322340631915409,0.5677505014664531,0.4558053521035599,0.1588582630838049,0.45249407204251296
145,0.3324761015721777,0.5766074067961473,0.4625718815857605,0.13240994814163798,0.43452957972938655
150,0.32920600393951116,0.5737647635917625,0.46111034313915855,0.14094320560372708,0.4400001346419842
155,0.3270219791525569,0.5718583558474571,0.4602933021035599,0.14664237666959778,0.4452581248802456
160,0.3168618372389249,0.5629048207636216,0.45658389289644014,0.17315507339592973,0.448047987604371
165,0.3119809034988477,0.5585525073785343,0.45484714378640784,0.18589177698649284,0.4596735384289931
170,0.31737205384321393,0.5633578381838793,0.4566179466990291,0.17182367288900324,0.4568259811009222
175,0.3054092681541903,0.5526384606179616,0.4470003973139159,0.20304033419859024,0.47446934453673917
180,0.29527762819365694,0.5433945419247942,0.4405663155501618,0.22947865562140424,0.4948613822453851
185,0.2972368720085312,0.5451943433387136,0.44199002483818767,0.22436604621906808,0.48897068719405085
190,0.2926979116778806,0.5410156297907488,0.4377673058252427,0.236210376713894,0.5003802721515063
195,0.2900889497254246,0.5385990621282445,0.43732814291262134,0.24301841321614004,0.504146080507307
200,0.2903524176046875,0.5388435928956449,0.4390910541423948,0.24233089880547476,0.5033738891345435
205,0.2939795669408721,0.5421988260231407,0.4415111949029126,0.23286592172652743,0.4978064468465426
210,0.29382936641274915,0.5420602977646944,0.4419253131229774,0.2332578671426554,0.496523667321526
215,0.2857317886037759,0.5345388560280495,0.4370122877669902,0.25438834213918404,0.50996356948041
220,0.2949329287959399,0.5430772770020302,0.4424168717961166,0.23037814213164276,0.4955775258810104
225,0.2922641259974907,0.5406145817470064,0.4384024625080905,0.23734233218126533,0.49790191593292277
230,0.2905545460664357,0.5390311179017736,0.43928716752427177,0.24180344843601675,0.5032982982975208
235,0.2940397866315233,0.5422543560281681,0.4388849964401294,0.23270877959123426,0.4982930206997865
240,0.28976519430078573,0.5382984249473388,0.43390823317152105,0.24386324682770977,0.5074442461783949
245,0.2870315189909031,0.5357532258334085,0.4331349185436894,0.25099672045979904,0.5124401725622787
250,0.2884556919584946,0.5370807127038678,0.4313819803721683,0.24728036823789445,0.5122947980964808
255,0.28806224557862425,0.5367143053605188,0.4333246347411003,0.24830705906920858,0.5148983710169875
260,0.30059232397206587,0.5482630062041993,0.4430024152912622,0.2156100582569701,0.48666430787801906
265,0.2958756586627787,0.5439445363847115,0.44062899276699025,0.22791810650745348,0.4888145579394095
270,0.29928002365531464,0.5470649172221836,0.44245806898058254,0.2190344809281941,0.48389512450951155
275,0.28853656265042843,0.5371559947077091,0.4357768799029127,0.24706933770825068,0.503163010030375
280,0.29758273488564013,0.5455114434048475,0.4405314830420712,0.2234635236315261,0.49017400363010394
285,0.29387309833636116,0.542100634879135,0.4385068817475728,0.23314374952128358,0.496528681637103
290,0.29251431355384105,0.540845924042921,0.43797637038834947,0.23668947252018913,0.4980779701004279
295,0.29591468241930025,0.5439804062825243,0.4423281623139159,0.22781627475839206,0.48836587006229176
300,0.29472747974396335,0.5428880913631864,0.4413684685760518,0.23091425751802908,0.4915986486024175
305,0.28819139257598564,0.5368346044881847,0.43799622055016174,0.24797005244043646,0.506622137535233
310,0.2874721628647258,0.5361643058473081,0.43841876865695784,0.24984686866734507,0.5099504490689265
315,0.2823942089860828,0.5314077615034267,0.4326253367961164,0.26309769255535864,0.5205401161336775
320,0.2849085506919943,0.533768255605365,0.43621570441747565,0.25653656578352124,0.512738625870554
325,0.2842970568348294,0.5331951395453914,0.4340924815857605,0.2581322473520311,0.513838387232894
