n_samples,mse,rmse,mae,r2,pearson_r
50,0.3857468275044133,0.621085201485604,0.5029450361748342,0.3104510220499048,0.5672409042513687
55,0.3993957686741385,0.6319776646956271,0.5151054321433426,0.28605260121369624,0.5509438411782059
60,0.40012563261003076,0.6325548455351763,0.5178925724666851,0.28474791924315856,0.5437725362868161
65,0.38531662410886613,0.6207387728415763,0.512787595096022,0.3112200402000458,0.5749188919490893
70,0.37507487700403924,0.6124335694620595,0.5004670854224862,0.32952786736804995,0.5906147925178049
75,0.37971712563598786,0.6162119161749372,0.5044137611409116,0.32122952873942245,0.5862592317589622
80,0.3661377022748032,0.6050931352071375,0.4923232184875691,0.34550368171285006,0.6104327628348909
85,0.3672580698678031,0.6060182091883074,0.4955902892335083,0.3435009476043689,0.6182024210579485
90,0.3656173961522245,0.604663043481429,0.497007515163094,0.3464337646829847,0.6191368561225296
95,0.3673601443555522,0.606102420681152,0.5013300646478177,0.3433184824389195,0.6225988673092812
100,0.3673621029410112,0.6061040364005269,0.5041346521290055,0.3433149813327401,0.6263598594676378
105,0.36136315480866277,0.6011348890296276,0.49474885167508287,0.3540385136044064,0.6260290187505603
110,0.34083532989568294,0.5838110395459158,0.4795507890903315,0.3907334121207702,0.6515163507521377
115,0.34448003654356724,0.5869242170362092,0.4870830083286464,0.3842182483792155,0.6495784452577055
120,0.3424361564339273,0.5851804477543037,0.483948383892652,0.38787182461151415,0.6451319949663445
125,0.33814967251116623,0.5815063821757817,0.4796387354032044,0.39553420936024053,0.6482536705129717
130,0.34036261520860706,0.583406046599285,0.47754387474254145,0.391578422127577,0.638629643305451
135,0.33411971335101426,0.5780308930766713,0.4740103967559945,0.40273803845727085,0.649226648604249
140,0.3387185730448106,0.5819953376486883,0.4782755305756353,0.39451726053899516,0.6406449180648836
145,0.33812984694958254,0.5814893351984906,0.4734427909798895,0.3955696489147684,0.6409246478138828
150,0.33611064942498997,0.5797505061877825,0.47184611415116023,0.3991791033291311,0.6419227335976372
155,0.3313135239502174,0.5755984050970063,0.4701211074260221,0.4077542949635715,0.6496218009757433
160,0.3322224393452851,0.576387403874586,0.4695254818858839,0.40612954619825636,0.6444933882162047
165,0.3383277752212734,0.5816595011011798,0.4743209267947514,0.39521583851965825,0.6366323565887807
170,0.33619163878825964,0.579820350443359,0.4726989680314917,0.3990343292734928,0.6399759224145415
175,0.3317645866135984,0.5759900924613187,0.471607246803232,0.4069479894379032,0.6463403644085445
180,0.3258074292159752,0.5707954355248255,0.4639252853333149,0.4175968178977353,0.6536367212401802
185,0.3226458256728998,0.5680192124153018,0.46366823873008284,0.4232484016214825,0.6617641857130097
190,0.3241850940729201,0.5693725441860716,0.4627484247407735,0.42049685351701294,0.6579851484434208
195,0.3297458518067667,0.5742350144381364,0.4691677206584807,0.410556616712452,0.6513657784015924
200,0.3307359081149745,0.5750964337526138,0.4689283507427901,0.4087868229856846,0.6486195789344578
205,0.33480433752835,0.5786227938202486,0.4706878881280111,0.4015142256658192,0.6450625095541258
210,0.32812110920403825,0.5728185656942678,0.46551166554820445,0.4134609558314317,0.6533641820249517
215,0.3275254989325366,0.5722984352001468,0.4661484484824586,0.414525650145647,0.6561008454398309
220,0.3281044691393998,0.5728040407848043,0.4666672013299171,0.4134907010911367,0.6535127044576303
225,0.31889270641787343,0.5647058583172955,0.4601129062551934,0.42995736035270793,0.6691570130240224
230,0.3187175180315983,0.5645507222841879,0.45907638265674033,0.43027052163905277,0.6671358033925936
235,0.32166143400580044,0.567152037822135,0.4632379761056078,0.42500806941277025,0.6642218602016465
