n_samples,mse,rmse,mae,r2,pearson_r
50,0.35043082680004806,0.5919719814315945,0.46357602085066163,0.30858896823200577,0.5565012244791825
55,0.3506835051798975,0.5921853638683563,0.4613003000378072,0.3080904258494407,0.5571513577566555
60,0.3559257199645555,0.5965951055486086,0.4679052533648393,0.29774737136959617,0.5457452764893321
65,0.33887081068012503,0.5821261123503437,0.4563745251039698,0.3313972432508333,0.5757657462129497
70,0.3277702559829748,0.5725122321688636,0.4484448877504726,0.3532989864463113,0.5960106208741816
75,0.3342027092631261,0.5781026805534862,0.4534592923818525,0.34060755401771814,0.5842678479240763
80,0.34249135766101363,0.585227611840909,0.4549846474291115,0.3242537903004197,0.5699352072768468
85,0.3246656304122013,0.569794375553323,0.46054581287334595,0.3594245102443835,0.6066312066833813
90,0.3335903255594787,0.5775727881050826,0.46049392546313794,0.3418158063060318,0.5883813092462115
95,0.3181369799558697,0.5640363285781065,0.45036446846880906,0.37230574272408334,0.6152812144035322
100,0.3207839844109084,0.5663779519110083,0.4497556086200378,0.3670831197657526,0.6103020637948745
105,0.3337504167090292,0.5777113610697208,0.46489806489603025,0.3414999414379253,0.5883838026489946
110,0.3243051777788332,0.569477987088907,0.455868894026465,0.3601356946153941,0.6040886113688465
115,0.317335863514065,0.5633257170714515,0.4487720810018904,0.3738863706347395,0.613884514526964
120,0.31154705696164425,0.5581640054335681,0.4470278997920605,0.38530786784622295,0.6255096851779204
125,0.31340366347465043,0.5598246720846183,0.44883876281663515,0.38164472486172385,0.6235759430212946
130,0.3173917960279005,0.5633753597983324,0.45300662548204157,0.3737760140275497,0.621219691988008
135,0.3253337462184424,0.5703803522373841,0.45928853612476367,0.35810629676655714,0.6049718787187184
140,0.31593605006069747,0.5620818891057578,0.45440858576559545,0.37664824656019236,0.6245340981465579
145,0.3122533482811695,0.5587963388222668,0.45175049739130435,0.3839143328812171,0.6325922072773414
150,0.314164715185421,0.5605039832021009,0.4527106072778828,0.3801431459242267,0.6287404633388582
155,0.31415963857320095,0.5604994545699407,0.44455440793950857,0.38015316223964335,0.618952154672791
160,0.3130084658444036,0.5594715952078386,0.44436045962192816,0.38242446220325954,0.6223692876088431
165,0.31905574402139103,0.5648501960886542,0.44477273122873345,0.37049299235536093,0.6105768094020804
170,0.3204813810597866,0.5661107498182547,0.4496007434215501,0.3676801656852742,0.6086757925502937
175,0.3174644411311431,0.5634398292019682,0.448550270926276,0.3736326829563523,0.6134836492251236
180,0.3215115852454578,0.5670199160924224,0.45057045869565215,0.3656475404580619,0.6067202877191363
185,0.3304133174511511,0.574815898745982,0.45782220657844985,0.3480841431249483,0.5912452294633159
190,0.3273627825483004,0.572156257108406,0.4500121293572779,0.3541029443356868,0.5960458407823216
195,0.3250600817688098,0.5701404053115423,0.4494828220415879,0.3586462453241841,0.5999575450945646
200,0.31343685385692,0.5598543148506762,0.43967604327032134,0.3815792391946685,0.618656114720407
205,0.30694636682393434,0.5540274062029191,0.43680876517958417,0.3943851740410169,0.6294677443645041
210,0.30333868498261635,0.5507619131554181,0.43360468551984876,0.40150324366683665,0.6342892839291213
215,0.3060682441566973,0.5532343483160616,0.43316830124763706,0.39611773765397673,0.6296082716475208
220,0.30297409340841575,0.5504308252709106,0.4312483194706994,0.40222259429815477,0.6345385879853435
225,0.3025285208942329,0.5500259274745445,0.431181661758034,0.40310172286846857,0.6356051487041764
230,0.30385248243214397,0.5512281582359014,0.4307931810396976,0.4004895051554689,0.6334682569895981
235,0.3000060204736265,0.5477280533929465,0.4313533508317581,0.4080786954549638,0.6416880900592208
240,0.30306075102899716,0.5505095376367217,0.43225854189035917,0.4020516160899763,0.6353820745541752
245,0.305976092851683,0.553151057896198,0.4348757748204159,0.39629955507415215,0.6311365565469332
250,0.30588999712073073,0.5530732294377759,0.43382816773156896,0.39646942465643775,0.6301811044157197
255,0.3062155277404206,0.5533674436939895,0.436640565463138,0.3958271425156594,0.6302006442163773
260,0.3166906268746954,0.5627527226719524,0.4434047738374291,0.37515944279746793,0.6130229858903565
265,0.31219926635250017,0.5587479452781013,0.44125051361058604,0.384021038225729,0.6213382718085313
270,0.3124161352450948,0.5589419784245006,0.4425905197542533,0.383593149086647,0.6208330657481128
275,0.30790680308611335,0.5548935060767186,0.4393403796975425,0.3924902031189539,0.6280401426363569
280,0.31149115589847004,0.5581139273468008,0.43921015792060486,0.3854181624002697,0.6213822792736858
285,0.3059422277961154,0.5531204460116399,0.43631030517958413,0.39636637189282276,0.6297575107840616
290,0.3058288212230146,0.5530179212494063,0.43582900642722117,0.39659012662477056,0.6301071720572133
295,0.30393738419667377,0.5513051643116303,0.4321617765217391,0.4003219913064491,0.6330969377753577
300,0.3066180427840519,0.5537310202472423,0.43261650448015126,0.395032967687604,0.628769672139305
305,0.3088299683126726,0.555724723503168,0.43453506115311913,0.39066876912121973,0.6254834920268636
310,0.30950440976484256,0.5563312050971458,0.4348577420037807,0.38933807494522477,0.6244590243684638
315,0.31119060432508044,0.5578446058940433,0.43573264618147445,0.3860111600978593,0.6216741647318902
320,0.3053847667933795,0.5526162925515131,0.4324558619470699,0.3974662599665736,0.6306799270956084
325,0.3114288930560361,0.55805814487026,0.4361424020415879,0.38554100894468246,0.6214309608221874
330,0.3114612561974179,0.5580871403261483,0.4384147623440453,0.3854771554498905,0.6218785602411887
335,0.3094708549976099,0.5563010470937565,0.4375686231190926,0.38940427955526125,0.6249325583737027
340,0.3091023607093184,0.5559697480163093,0.4362968966540643,0.39013133036410363,0.6253110833740447
345,0.3133949160339146,0.5598168593691285,0.4392477365217391,0.3816619838371391,0.618974354339035
350,0.3138313361803831,0.5602065120831631,0.4378021652362949,0.3808009131758918,0.6187605550752147
355,0.3125044555733952,0.5590209795467387,0.43640731587901704,0.383418890303897,0.6209592065390617
360,0.3090483995686711,0.5559212170520847,0.43281568468809073,0.3902377973900527,0.6265460766372873
365,0.3133435340769576,0.5597709657323766,0.4372070190359168,0.38176336205262984,0.6196099182406317
370,0.3185822141006025,0.5644308762821205,0.4415972900756144,0.371427281767326,0.6117720203032794
375,0.31910221509361353,0.5648913303402819,0.4424568612665406,0.37040130346975086,0.6115061939085505
380,0.3139675829391328,0.5603281029353541,0.437086926805293,0.3805320940400232,0.6187579792296309
385,0.3132468204874845,0.5596845723150536,0.4344522488468809,0.38195418100338874,0.6198720233234642
390,0.31207118508267956,0.5586333189872222,0.43586632799621927,0.38427374659538205,0.6216372050575896
395,0.30902714919784385,0.5559021039696143,0.4316529289224953,0.3902797250393788,0.6261761367900066
400,0.3076236920124173,0.5546383434386928,0.43132737497164464,0.3930487901626697,0.628190634979428
405,0.3095467035965104,0.5563692151768557,0.4363461781852552,0.38925462788647747,0.624950066199228
410,0.3052868085351839,0.5525276540908916,0.43328359128544425,0.39765953468782933,0.6310581975111703
415,0.3053987800978204,0.5526289714607988,0.4332214106049149,0.3974386112766155,0.630891580236812
420,0.31065520399666796,0.5573645162697999,0.43171087090737237,0.3870675217680265,0.6228413937413295
425,0.30564946785899694,0.5528557387411267,0.4308665175614366,0.396943996447237,0.6303978799672332
430,0.30462433249590976,0.5519278326882145,0.42757326268431,0.3989666207282292,0.6319997306293773
435,0.30446363827821177,0.5517822380959827,0.4281513128922496,0.399283675468739,0.6323190617477152
440,0.30190155705076743,0.5494556916174109,0.4277715217202268,0.4043387422307493,0.6361932434494857
445,0.3020489484569288,0.5495898001754843,0.4253596680907372,0.4040479343553739,0.6365060663174887
450,0.30117731613316545,0.5487962428198333,0.4254226190926276,0.4057676923167345,0.6382731591611728
455,0.3027861236129179,0.5502600508967718,0.4270166786389414,0.4025934646106588,0.6360642614835302
460,0.3024186755395017,0.5499260637026596,0.42704783126654067,0.40331845120468013,0.6361157371085346
465,0.29591240869556984,0.543978316383631,0.4219725443289225,0.41615552011382495,0.6459285305975103
470,0.29575096097208853,0.5438299007705337,0.422673515557656,0.4164740615449204,0.646303111507173
475,0.29672469918783073,0.544724424996558,0.42589199304347825,0.4145528454505315,0.645637955857881
480,0.29385050964939124,0.5420798000750362,0.4220586447069943,0.42022371171653816,0.6498033560903924
485,0.29456156129974415,0.5427352589428331,0.4210737609073724,0.41882078446924054,0.6485497992514765
490,0.28824958572134607,0.5368888020077771,0.4175490514744801,0.4312745106068806,0.6583581378978166
495,0.29122226890888464,0.5396501356516874,0.41941306514177695,0.42540931327654363,0.6553327626736416
500,0.2897689666716856,0.5383019289132128,0.4207899150283554,0.4282767242531067,0.6576501634131651
505,0.2880325351317144,0.5366866265631317,0.4202181288657845,0.43170275823992554,0.6601722137715644
510,0.28829648455321555,0.53693247671678,0.41969136480151237,0.4311819777380469,0.6589445933120027
515,0.29483620294486307,0.5429882162117914,0.4238277142155009,0.4182789078742156,0.6496415499372058
520,0.2959834930951433,0.5440436499906449,0.4254670997164461,0.4160152683600038,0.6478246049259918
525,0.2948785101638367,0.5430271725833218,0.42496394049149344,0.41819543440189333,0.6496479727818092
530,0.2957631809241186,0.5438411357410531,0.4264584855009452,0.4164499511956158,0.64789552569364
535,0.28926944718169606,0.5378377517260164,0.4209053096597353,0.4292622919016942,0.6576371754626326
540,0.288985451068599,0.5375736703639782,0.4202552451606805,0.42982262515595604,0.6572954566727492
545,0.2927163498835723,0.5410326698856293,0.42179453083175805,0.42246144456965284,0.6516501292005535
550,0.28986841110573,0.5383942896295706,0.4210312498676749,0.4280805172602058,0.655515055799009
555,0.287324606593678,0.5360266845910546,0.41995242328922494,0.433099523488495,0.6600994934590907
560,0.2832185437303289,0.53218281044236,0.4146343327599244,0.4412009145298498,0.6660848270126977
565,0.2851383821731463,0.5339835036526375,0.41681984531190924,0.437413012961094,0.6632207921121855
570,0.28946692869706364,0.5380213087760221,0.4211261602835539,0.4288726546670302,0.6568948994414463
575,0.28665343806436333,0.5354002596790212,0.4201929707561437,0.4344237600848616,0.6618116485052327
580,0.28540052308767216,0.5342289051405513,0.4183498505671077,0.43689580070030065,0.6638482011007579
585,0.287451274650672,0.536144826190342,0.41918799175803406,0.43284960343215173,0.66040739231025
590,0.28378782252091467,0.5327173946107961,0.41730810724007567,0.44007770958935755,0.6655228338660792
595,0.28433689960124076,0.5332325005110254,0.41519075128544425,0.43899436325794294,0.6643591417474968
600,0.2826794197868109,0.5316760477836207,0.4126997097353497,0.44226462300961566,0.6667485342500062
605,0.28273367929798215,0.5317270721883381,0.4136736045179585,0.44215756728924793,0.6667100109388857
610,0.28512145020703783,0.5339676490266407,0.41527316047258983,0.43744642026222624,0.6631982435695206
615,0.28360464075071407,0.5325454353862346,0.4147479016824197,0.440439132977511,0.6658761515077254
620,0.28438032856316037,0.5332732213070148,0.41695259328922496,0.4389086765515432,0.6646222731062795
625,0.28636917414579366,0.5351347252288845,0.416045159073724,0.43498462172773533,0.6607772572975092
630,0.2803266950318755,0.5294588700096312,0.4109579271833648,0.4469066228734123,0.669663106161242
635,0.2831637039149611,0.5321312844730717,0.4125522964650284,0.44130911520863036,0.665228796629678
640,0.2822058189253352,0.5312304762768559,0.41148510519848774,0.4431990523897854,0.6666528872610529
645,0.28477182135969575,0.5336401609321545,0.4116206574858223,0.4381362489633256,0.6631105799411154
650,0.28551842898095087,0.534339245218757,0.41276409000000003,0.4366631686682738,0.66171461759718
655,0.284959090540538,0.5338155960072148,0.41304078035916825,0.43776676098555023,0.6625397924940566
660,0.2811014461820819,0.5301900095079894,0.4066755786767486,0.44537801451147363,0.6682477096074555
665,0.2801065592362364,0.5292509416488896,0.4086409558223062,0.4473409577148467,0.6700754534432183
670,0.28082429912421497,0.5299285792672584,0.41065149534971646,0.44592483436457,0.6690920906047719
675,0.2814049684713456,0.5304761714453775,0.4092554936862004,0.44477915549812497,0.668221078406513
680,0.28222635843548727,0.5312498079392474,0.40858697591682425,0.44315852729090655,0.6667170923101967
685,0.28179958831391605,0.5308479898369364,0.40972249807183364,0.44400055814982897,0.6672148901443609
690,0.2835560661670299,0.5324998273868545,0.4111257546880907,0.44053497215732706,0.6647109608852584
695,0.28409106128250233,0.5330019336573765,0.4094967924385633,0.4394794099850222,0.6642715036860397
700,0.2843800089934969,0.5332729216765998,0.40852166865784495,0.43890930707253006,0.6636307336855864
705,0.28356777346113027,0.5325108200413681,0.40839893338374295,0.4405118732982254,0.6646447250408607
710,0.2808578447888174,0.5299602294406793,0.4068906688846881,0.44585864771430894,0.6685993805047348
715,0.27798917236704845,0.5272467850703771,0.4052965051795841,0.4515186285357775,0.6729779866722887
720,0.2782700666502718,0.5275130961883997,0.40369938621928164,0.45096441528931563,0.6722798118151683
725,0.27737019465677243,0.5266594674519508,0.4049520075992439,0.45273989100635215,0.6738835980174698
730,0.2771091204197902,0.5264115504239911,0.4040212626654064,0.4532549986788371,0.6739417610219994
735,0.27909697128893324,0.5282962911936191,0.40460824423440456,0.4493329064559992,0.671379069543824
740,0.27222352202677863,0.5217504403704692,0.40023156614366734,0.4628944378131219,0.6810897613466499
745,0.27659779731298184,0.5259256575914336,0.4025060784310019,0.45426385523427615,0.6746902329283491
750,0.27123456319904937,0.5208018463859834,0.399066330926276,0.46484568465319087,0.6827169816167471
755,0.2736076156256516,0.5230751529423393,0.3992416739319471,0.46016357765450266,0.6789256481727921
760,0.2693109127282837,0.5189517441229808,0.3959238748393195,0.4686411074728619,0.6850463254717174
765,0.26590604981262117,0.5156607894853177,0.39472909663516065,0.47535900898581884,0.6901395398448642
770,0.26723700569448605,0.5169497129262053,0.3967457430245747,0.47273299121243684,0.6887079625616394
775,0.26904543100351036,0.518695894531189,0.39889045916824195,0.46916491125724125,0.6859263558936776
780,0.2692778716991039,0.5189199087519228,0.3979893258601134,0.4687062984615785,0.6856292243196835
785,0.26875802424139733,0.5184187730410593,0.3979216408884688,0.46973197382917387,0.6862699864872832
790,0.27339274468278707,0.5228697205641067,0.40247295102079395,0.46058752477599185,0.679988589794577
795,0.2679763440068858,0.5176643159489418,0.4000564152551985,0.47127425349215746,0.6878748041342713
800,0.27074809119844123,0.5203345954272512,0.4038096969943289,0.4658055091952784,0.6841078020831657
805,0.27441749382992625,0.523848731820481,0.4033698922306238,0.4585656625111998,0.6787546974411074
810,0.27147068146209447,0.5210284843097299,0.3992631365973535,0.46437981590139743,0.6828097102769759
815,0.27254633137699735,0.5220597009701068,0.4041458736294896,0.46225752482251214,0.6820631847828569
820,0.27185575505321663,0.5213978855473204,0.40292732676748577,0.46362005360715075,0.6829314820154062
825,0.27371178848747807,0.5231747208031731,0.4049289470699433,0.45995804132502116,0.6803241749591721
830,0.2742992553712535,0.5237358641254707,0.4053874767674858,0.4587989507051984,0.6791813757069731
835,0.2723547468430227,0.5218761796087484,0.4030006198676749,0.4626355271276056,0.68221723550035
840,0.2681062292625236,0.5177897539180585,0.4014641353497164,0.4710179858018061,0.6883247915357742
845,0.26974758291791656,0.5193722970258585,0.4018747072022684,0.46777954346859507,0.685761910254447
850,0.2690235913737066,0.518674841662584,0.4026441477693761,0.46920800153304243,0.6868300204087832
855,0.26871687037309216,0.51837907979884,0.4013386834404537,0.4698131717043892,0.6874823637838519
860,0.2677770830314791,0.5174718185867508,0.39922707075614366,0.4716674016573891,0.688924084977657
865,0.2671900969225035,0.5169043402047457,0.39839664839319466,0.472825543693426,0.6898515278117151
870,0.2710926976334081,0.520665629395112,0.4022822188468809,0.4651255898715989,0.6843154869404079
875,0.26797760186354586,0.517665530882196,0.39824700780718336,0.4712717717014455,0.6885231405768466
