n_samples,mse,rmse,mae,r2,pearson_r
50,0.42000499683852005,0.648077924973934,0.5193327356137479,0.27615118641705594,0.5399715316581722
55,0.4229083098892501,0.6503140086829209,0.516973415188216,0.2711475323580572,0.5416432060099585
60,0.4352287826043032,0.6597187147597855,0.523712519067103,0.24991407174520408,0.5276737963300326
65,0.415979118933656,0.6449644323012363,0.5122909062029459,0.28308950135854705,0.5419635751266223
70,0.40564350949040384,0.6369014911981317,0.5096363932242225,0.30090219094431203,0.5597435935875031
75,0.40450384494526587,0.6360061673798972,0.5115573846808511,0.3028663219310628,0.5545376086065456
80,0.4060328550432394,0.637207073911801,0.5086229659247135,0.30023118150724537,0.55796319655891
85,0.40634622553228356,0.637452920247671,0.5082553765466448,0.2996911097023526,0.552782457794191
90,0.4167549872738398,0.6455656335910701,0.5152318654664484,0.28175234732046184,0.5447530144621586
95,0.41423904962778313,0.6436140533175011,0.5127587645662848,0.2860883873529736,0.5422176827124128
100,0.408587530047762,0.639208518441175,0.5088027576432078,0.29582838038575143,0.5489786457098139
105,0.4037950564129087,0.6354487047849801,0.5106476887234042,0.30408786867952964,0.5543455635762528
110,0.3968796284664802,0.6299838319087881,0.5035608923731587,0.316006118110179,0.5646474644492243
115,0.3977240283081337,0.6306536516251481,0.5053180988379705,0.31455085489147616,0.5660329222730636
120,0.4013059597177957,0.6334871425039309,0.5040899382160393,0.3083776502373987,0.5632223130738162
125,0.39775456077647064,0.6306778581625255,0.5022485538625204,0.31449823434851165,0.5669974632198272
130,0.393583037915711,0.6273619672212454,0.4988466982324058,0.32168755803828664,0.5773525028558073
135,0.38860819164352345,0.6233844653530624,0.4983020419803601,0.3302613526335565,0.5786897814482812
140,0.3890015457608202,0.6236998843681312,0.49735349939443535,0.32958343472004015,0.5763745677213279
145,0.38972895981183026,0.6242827562986425,0.4963253848445172,0.3283297882116163,0.5774364213769467
150,0.3943721885905029,0.6279905959411358,0.4979209122749591,0.32032751283885785,0.5737284601176664
155,0.39414026905018645,0.6278059167053035,0.4984829676268412,0.3207272097123912,0.5724096395191792
160,0.38794775166212486,0.6228545188582362,0.49334342260229125,0.3313995740846739,0.5814020172393906
165,0.38857060164263235,0.6233543146899942,0.4927837057774141,0.330326136333161,0.5824487435557254
170,0.3907832173084221,0.6251265610325817,0.4951662858101473,0.326512850213585,0.5804102013235355
175,0.3870522734507137,0.6221352533418386,0.49295241142389523,0.33294286724975153,0.5859427672724611
180,0.37762576522956104,0.6145126241417348,0.48897015795417337,0.34918878537804143,0.5946512127909536
185,0.38079632522447665,0.6170869673105053,0.49025280780687397,0.3437245501713455,0.589301777624436
190,0.3754356761732507,0.6127280605401149,0.4860028766284779,0.3529632484843952,0.5968762854424184
195,0.37741822061218516,0.6143437316455546,0.4857230968903437,0.34954647380123605,0.5968140279014098
200,0.3769990120968402,0.6140024528426904,0.48707723338788866,0.35026894993547353,0.5970017458595782
205,0.378700976583646,0.6153868511624586,0.48679284461538463,0.34733573489325265,0.5954890615526387
210,0.3803115537121524,0.6166940519513322,0.48841393875613753,0.3445600194793206,0.5925728032034867
215,0.37827159034467145,0.6150378771625952,0.48440224468085114,0.3480757516120777,0.6001717016328421
220,0.3777441326031265,0.6146089265566572,0.4861803128477905,0.34898478760761675,0.6001154681063652
225,0.3831943920734763,0.6190269720080671,0.4917781134533551,0.3395916520948774,0.5939646974019455
230,0.38247581631116484,0.6184462921799797,0.4895194956792144,0.34083006643978697,0.5955675248750233
235,0.3814323047907751,0.6176020602222559,0.48836394304418984,0.3426284845102383,0.598724360363964
240,0.37789169536675876,0.6147289608980194,0.48687417464811794,0.3487304736537632,0.6001814160297416
245,0.3778526031004049,0.614697163732195,0.4835655614893617,0.3487978464013102,0.6010119542648809
250,0.37783603116275943,0.6146836838266975,0.48403918779050736,0.34882640696009826,0.6027265311748422
255,0.3845661838035234,0.6201340047147257,0.48949861168576103,0.3372274663738696,0.5963816602136154
260,0.38977046917291375,0.6243160010546852,0.4897323853355156,0.3282582497727904,0.5895634598192762
265,0.392752498826877,0.6266996879103076,0.4906682691489362,0.3231189332328961,0.5854252439873071
270,0.3969882473260887,0.6300700336677572,0.49113803888707036,0.3158189212119227,0.5797876253486194
275,0.38409392425605615,0.6197531155678494,0.48566068137479546,0.33804137219811103,0.593456897226109
280,0.3808691294612921,0.617145954747572,0.48326078490998364,0.3435990772345011,0.5966232189865832
285,0.3823609514091336,0.618353419501448,0.48435712345335524,0.34102802794901543,0.5978817592787916
290,0.3868605210778767,0.6219811259820323,0.4880654812111293,0.33327333885990984,0.5932714925320022
295,0.3873362928288431,0.6223634732444081,0.4885984517675941,0.3324533800021211,0.5949471215735345
300,0.3850097019278847,0.620491500286575,0.48766162291325693,0.33646309435320787,0.5961099213147926
305,0.385245600905009,0.6206815615958066,0.4859749565793781,0.336056539202669,0.5965932658944553
310,0.38381518031884515,0.6195281917062735,0.4866269010638297,0.3385217675976001,0.5998985842293896
315,0.3872916147970778,0.6223275783677579,0.48917159798690674,0.3325303794200565,0.5969462736978911
320,0.38702588473814237,0.6221140448005834,0.48863208906710315,0.3329883463236447,0.5965742439127015
325,0.38725272220992035,0.6222963299023387,0.4890431270212766,0.3325974080346753,0.5958431003217045
330,0.3912267685155558,0.6254812295469432,0.4923933641243862,0.3257484211771121,0.5913508548197242
335,0.38571925782429356,0.6210630063240714,0.4887511478396072,0.33524022510724083,0.5964590589179039
340,0.38256775297030526,0.6185206164472654,0.4867305614893617,0.3406716201304705,0.5995257353835105
345,0.37859559802364406,0.6153012254364882,0.48436909296235675,0.3475173473650295,0.603077463194774
350,0.381067715279672,0.6173068242613814,0.4853967536988544,0.3432568286657681,0.600945003576119
355,0.3759997010382664,0.6131881448937727,0.4813745228477905,0.3519911916459145,0.6061330847871337
