n_samples,mse,rmse,mae,r2,pearson_r
50,0.4884950994419852,0.6989242444228024,0.46318376724137933,0.12344837481692739,0.3925891706461167
55,0.4819669633611853,0.6942384052767359,0.4578773554482758,0.13516240899573095,0.4076466610651864
60,0.49126350864514867,0.7009019251258686,0.4624710996551724,0.1184807639054225,0.38904702359660526
65,0.5041161626581776,0.7100113820624129,0.47603755172413786,0.09541806629411453,0.3711943914008588
70,0.49880969006649906,0.7062646034359212,0.4724201465517241,0.10493995746464768,0.3789715156506429
75,0.48839323508500454,0.6988513683788596,0.4681931509195402,0.12363115938889468,0.4013557983073922
80,0.5177449528601819,0.7195449623617567,0.47884052188505744,0.07096267623085206,0.3684978009979158
85,0.535283853829058,0.7316309546684434,0.4832443728965517,0.03949101527508214,0.3457082476677373
90,0.5076640478729634,0.7125054721705395,0.4758062154482759,0.08905176998011688,0.37783200856248333
95,0.4925395918988038,0.7018116498739557,0.4711613335402299,0.11619097051519589,0.3897904725315207
100,0.4668440434084443,0.6832598652112125,0.45761929698850573,0.16229885330649507,0.42704421644339635
105,0.462670775181327,0.6801990702590874,0.47192510241379304,0.16978733180092265,0.4273342803435684
110,0.468654947650895,0.6845837769410659,0.47337060248275864,0.15904938149278736,0.4215424476927366
115,0.45708228606741647,0.6760786093846014,0.47405960781609197,0.1798152711205021,0.4424957485804153
120,0.45923514016386174,0.6776689015764717,0.47810263882758613,0.17595220727569227,0.439009990286922
125,0.46020759190704763,0.6783860198346128,0.4801801224827586,0.17420724779324204,0.4385283499855884
130,0.4440878799733496,0.6663991896553818,0.4648928750114943,0.20313232751073906,0.4553928869819448
135,0.4421904579444384,0.6649740280224773,0.4627457407126437,0.20653704613534785,0.45846390928208586
140,0.45034300317764264,0.6710760040246132,0.46805210062068964,0.191908185412473,0.44734403200170547
145,0.4577698934655469,0.6765869444983009,0.47308879234482754,0.17858143400932613,0.43627551206446263
150,0.45006376393630265,0.6708679183984748,0.46427395887356315,0.19240925003132192,0.44820167099711483
155,0.45021873726031386,0.6709834105701227,0.4652961656321838,0.19213116716175527,0.4484595009657821
160,0.44826830618165614,0.6695284207422835,0.45931469059770114,0.19563100479320328,0.45703324152470365
165,0.4469977789464979,0.6685789249942732,0.46661003432183895,0.19791082850912078,0.4570644701131397
170,0.43732335509086256,0.6613042832848299,0.4627416827356321,0.21527053582871114,0.47137962446787784
175,0.44577450210329883,0.667663464706059,0.4650756528045976,0.2001058665067994,0.46670477067544136
180,0.44003540231159627,0.6633516430307506,0.4662263834712643,0.21040406039912563,0.4742442446314855
185,0.4398926102438316,0.6632440050568355,0.46442830521839074,0.21066028532176118,0.47412110523057815
190,0.4549135055510848,0.6744727611631806,0.47105796432183894,0.1837069132033552,0.457526754483399
195,0.4467806614830287,0.668416532921672,0.46236745894252873,0.1983004223160535,0.46711223967773835
200,0.4408772024311409,0.6639858450532969,0.45926634004597705,0.2088935411253211,0.47165713873664444
205,0.4425619119424232,0.665253269020471,0.46156183551724134,0.20587051210872953,0.4697219213591881
