n_samples,mse,rmse,mae,r2,pearson_r
50,0.31305867574850677,0.5595164660208909,0.4573348291423948,0.1830793508375108,0.44623989637566
55,0.33513461350092494,0.5789081218128874,0.4657905737216828,0.12547261192041448,0.43242951811530206
60,0.34131548348383056,0.5842221182767994,0.4668488526699029,0.10934374947393644,0.4363704842610283
65,0.31834131138861194,0.5642174327230699,0.4471996480258898,0.16929441379308774,0.46400468737291056
70,0.3182660482809012,0.5641507318801432,0.4445054726375404,0.1694908114385516,0.47356752414364867
75,0.3261686946541663,0.5711118057387418,0.4503833018932038,0.14886900630916566,0.467686918332222
80,0.32891104775712815,0.5735076701816011,0.4537158454368931,0.14171288814138794,0.45949067141011807
85,0.3203931393286569,0.5660328076433881,0.45080214836569577,0.16394020788027108,0.4642768695642376
90,0.32472649001007303,0.569847777928521,0.4561112145954692,0.15263241184731569,0.4614594240072858
95,0.32225929102400636,0.5676788625834208,0.45150986595469256,0.15907052059000315,0.4606890909109092
100,0.31959169238987845,0.5653244134033825,0.44800950024271846,0.16603156839577426,0.4644638965949676
105,0.3137318830525799,0.5601177403480271,0.44550355333333325,0.18132262920521802,0.4730692441539326
110,0.3204466727983609,0.5660800939781939,0.45032291894822,0.1638005133111362,0.45981872062769996
115,0.3238678416631173,0.5690938777241565,0.44960988069579294,0.15487303834750854,0.4589352009646657
120,0.31944977253368256,0.5651988787441837,0.4448544499838188,0.16640190555629342,0.4665631761711986
125,0.3202574161145956,0.5659129050610134,0.4425338651132686,0.16429437502121413,0.4683404989394593
130,0.33222585105706454,0.5763903634318192,0.4483882816990292,0.13306297209240603,0.4557994417487508
135,0.3274895290787109,0.5722670085534469,0.44422461822006476,0.14542231404626882,0.46476404330271764
140,0.3238552844017355,0.5690828449371282,0.44117552444983815,0.15490580628181094,0.4691853950195075
145,0.3302980814364497,0.5747156526809146,0.44417771571197423,0.13809345018454988,0.46300274867722163
150,0.3289257740000832,0.5735205087876833,0.4420733280420712,0.14167446029099906,0.46771477243436027
155,0.324573173005116,0.5697132375196455,0.4409279040614887,0.1530324896503591,0.46963695089867125
160,0.3243169620209475,0.5694883335248823,0.4387254455987056,0.15370106733155275,0.47274828148406
165,0.3185866365243334,0.564434793864033,0.43573255765372165,0.16865424252599137,0.47552802459073246
170,0.31493874573928016,0.5611940357303169,0.43396252205501623,0.17817334402054164,0.4799599968790197
175,0.3095667680498885,0.5563872464838572,0.43528059344660197,0.19219141744020218,0.4824206878195412
180,0.30853077554437486,0.5554554667517234,0.43210895103559865,0.19489482014293236,0.4858809080713021
185,0.3126485281505112,0.5591498262098551,0.43416743854368933,0.18414962317928785,0.4784924238417887
190,0.30810092054083427,0.5550683926696189,0.43156783239482205,0.19601651858396274,0.4876799348803987
195,0.31265390258471787,0.5591546320873304,0.43425546957928807,0.18413559869563323,0.48156765708800536
200,0.3125329878079754,0.5590464987887639,0.43467015307443374,0.1844511235015618,0.48040519263881615
205,0.3066768219546677,0.5537840932662004,0.43321799898058255,0.19973267670895634,0.48684904628643855
210,0.30922019037829823,0.5560757056177676,0.43724507425566345,0.193095805270323,0.4803359493274424
215,0.3105009190527942,0.5572260932985768,0.4367008682038835,0.18975376819797973,0.478984760367999
220,0.3137497645129662,0.5601337023541488,0.43710533310679617,0.18127596787506373,0.47487824820815505
225,0.3103050379640618,0.5570503011075946,0.43223298995145626,0.19026491616659402,0.48553528067734564
230,0.3153524437090865,0.561562502050383,0.43964738655339813,0.17709380705117517,0.47471178516097745
