n_samples,mse,rmse,mae,r2,pearson_r
50,0.3857468275044133,0.621085201485604,0.5029450361748342,0.3104510220499048,0.5672409042513687
55,0.39819852564464536,0.6310297343585684,0.5193480055862154,0.288192755450831,0.5597261756051026
60,0.38828402925620664,0.6231244091320822,0.515262196500221,0.3059155994616729,0.5992444862952819
65,0.38998046246920015,0.6244841571002423,0.5139149050428728,0.30288310844742883,0.5687795554552352
70,0.394799556401789,0.6283307698989354,0.5154582857980385,0.29426864668410013,0.5629270719890066
75,0.38729411930027957,0.6223295905710089,0.5095385074485911,0.3076851315736754,0.5683459415851226
80,0.39218671165025965,0.6262481230712469,0.5108245471861602,0.29893928633554023,0.567092188219549
85,0.4101078886482539,0.6403966650820833,0.5193379959586464,0.26690395019920266,0.5501261355288596
90,0.3908120514118832,0.6251496232198203,0.5093174798112431,0.30139658603268493,0.5734405133760117
95,0.4085748090327639,0.6391985677649504,0.5204261540723757,0.2696444354257861,0.5596460538509027
100,0.40094627507935643,0.6332031862517405,0.5193509891147791,0.28328096440221573,0.5667867438856069
105,0.387815063256841,0.6227479933784139,0.5114856498100275,0.30675390843143935,0.5787450182728174
110,0.3822960779717293,0.618300960675082,0.5041862560737845,0.31661947411163105,0.580079853980848
115,0.37620201435134243,0.6133530910913733,0.4997157811174586,0.3275130318582663,0.5840518341068922
120,0.37162565557499205,0.6096110691047137,0.4950787982738674,0.3356935878394539,0.5885675672205394
125,0.37106806114691415,0.6091535612199227,0.49399836876701664,0.33669032621959616,0.591694296347261
130,0.34152850361497566,0.5844044007491522,0.47445911063723756,0.3894943164352076,0.6317909740513861
135,0.33414208651126653,0.5780502456631833,0.4669566630822652,0.402698044894951,0.6415517261010687
140,0.33175861054702455,0.5759849047909368,0.4636896038012155,0.4069586720678158,0.6464280425042199
145,0.3326968504317176,0.5767987954492603,0.46610147461754153,0.40528150376095606,0.6419166239558269
150,0.3324790118196548,0.5766099303859193,0.4671864315208563,0.4056709052585076,0.643093223991485
155,0.33081659923667023,0.5751665839012818,0.46286261713654697,0.4086425820573667,0.6458586455484204
160,0.3306368549843738,0.5750103085896581,0.4640966507311326,0.4089638872674841,0.6473445267988289
165,0.3385663390017591,0.5818645366421287,0.4663559196836464,0.39478938935849717,0.6373723208047759
170,0.339737025454354,0.582869647051855,0.4700152892817127,0.3926967068285867,0.6357529122824435
175,0.3311670123186349,0.5754711220544736,0.4623297703041989,0.4080161945791021,0.6463484587162489
180,0.32752764974192095,0.5723003142947948,0.4610288120445856,0.4145218054259837,0.6553818074009907
185,0.32730399540459715,0.5721048814724422,0.46126938390920447,0.41492160293232616,0.652748775824839
190,0.33151426117306926,0.5757727513290892,0.4653920658024217,0.40739546337511867,0.6476826432476993
195,0.32485407266702654,0.5699597114419812,0.45801094772260964,0.4193010082813673,0.655994557978993
200,0.3330332994819936,0.5770903737561333,0.46440538472976056,0.4046800779494957,0.6420758224062715
205,0.33060762557504353,0.5749848916058956,0.4605565539816611,0.40901613684646343,0.6449784780476863
210,0.324710503530004,0.5698337507817557,0.456009950178337,0.4195576479855472,0.6545684532847104
215,0.3185428956020431,0.5643960449914963,0.450700847152046,0.43058267123884597,0.6631059083702394
220,0.324571337190344,0.5697116263429631,0.45518619460441434,0.4198064173867072,0.6540155835799208
225,0.3250643025043839,0.5701441067873839,0.45236649988242356,0.4189252079917779,0.6534636641890448
230,0.32697001795126157,0.5718129221618392,0.4560237500428637,0.4155186105943095,0.651611652593123
235,0.3226439229076952,0.5680175375001156,0.44981834061228365,0.4232518029451189,0.6571784792398773
240,0.32487994905630185,0.5699824111815223,0.4526131011987845,0.4192547524562883,0.6529469261305887
245,0.319701812710122,0.5654218007029106,0.44985279294495395,0.428511027221513,0.6594435848116215
250,0.3194773955571347,0.5652233147678312,0.4503942405700423,0.4289121883133047,0.6608482134673231
255,0.3098378459783233,0.5566307986253755,0.4405008644420921,0.44614354599671324,0.675987727609389
260,0.31259053159389383,0.5590979624304616,0.4440095470559352,0.4412229311854019,0.6715802215004979
265,0.3031809426412781,0.5506186907845375,0.4393311499194251,0.45804321843749196,0.6865510615981457
270,0.3057933016625413,0.5529858060226693,0.44088597392598183,0.4533734470623012,0.6825894036198217
275,0.30509695482732574,0.5523558226608332,0.43909738381451535,0.45461821491075793,0.6837892853018676
280,0.3079428403791426,0.5549259773872031,0.43825761731788443,0.4495309988050188,0.6782174896614505
285,0.308784776688704,0.5556840619351108,0.4384313182444012,0.4480259797604992,0.675205436357491
290,0.3034995232371561,0.5509079081272623,0.4384751425837995,0.45747373371689537,0.6847293320909096
295,0.3092357911185203,0.5560897329734836,0.4423061232659813,0.4472197604556444,0.6752935719704991
300,0.30279211069256223,0.5502654910973086,0.4394951834743567,0.4587382822817392,0.6852113550234038
305,0.30504947559658013,0.5523128421434542,0.4386442520001949,0.45470308730036724,0.6799077268124818
310,0.3050380611522151,0.5523025087325016,0.43822836459881953,0.45472349140452206,0.6806985744520648
315,0.30119896328174534,0.548815964856841,0.4344256207299666,0.46158614282270516,0.6854641742743839
320,0.30144891315936345,0.5490436350230858,0.4345869993720531,0.4611393402300167,0.6846577634827486
325,0.2979805293805203,0.5458759285593388,0.4322847631486093,0.4673393147192759,0.6886596973282676
330,0.295815075986877,0.5438888452495391,0.4316972399233099,0.47121021155605725,0.6922257725136232
335,0.29314159697013353,0.5414255230132151,0.4292994359725488,0.4759892391257535,0.6956868792862962
340,0.2956855867626484,0.5437697920652161,0.43483764966642713,0.47144168244798923,0.6926009530512346
345,0.2934909442287141,0.5417480449699049,0.43209940462040647,0.4753647568800735,0.69542026874345
350,0.2938939556156655,0.5421198719984959,0.431449319505706,0.4746443463150083,0.694774400669746
355,0.3002336136445338,0.5479357751092128,0.43322209276519663,0.4633117716762466,0.6856704761705402
360,0.29997683374206985,0.5477014092934852,0.4319572799969837,0.4637707834079766,0.6862523892598884
