n_samples,mse,rmse,mae,r2,pearson_r
50,0.35043082680004806,0.5919719814315945,0.46357602085066163,0.30858896823200577,0.5565012244791825
55,0.35671781348800863,0.5972585817617095,0.47070218024574667,0.2961845459603466,0.5446335016162497
60,0.34415264389367367,0.5866452453516295,0.46112227593572774,0.3209760203659817,0.5675100850224806
65,0.35931915738005277,0.5994323626399002,0.48009563621928164,0.29105201272745307,0.5412875425218269
70,0.35420364187380354,0.5951501002888293,0.47229277913043477,0.30114508555012187,0.549382637554503
75,0.3315135524430541,0.5757721358689165,0.4524202030434783,0.3459133449166817,0.5921043474211242
80,0.33083112184715,0.575179208462154,0.45280124332703214,0.34725980192428196,0.591432159339571
85,0.3289163370306406,0.5735122814993944,0.4515549125519848,0.35103773252954773,0.5937499620809049
90,0.33060670161197164,0.5749840881380733,0.4506799228733459,0.34770259009954385,0.591386620848247
95,0.3236999649627354,0.5689463638716179,0.44584276302457465,0.361329798517264,0.6029039950388668
100,0.3274179329522182,0.5722044503079456,0.4429976852173913,0.35399413085593834,0.5969571024041086
105,0.31634543300530676,0.5624459378511919,0.4438334082419659,0.3758405211477187,0.6156328389130427
110,0.3226489876075031,0.5680219957074754,0.44136575899810965,0.3634034098607105,0.6045473306177725
115,0.31784798346676546,0.5637800843119287,0.436599333194707,0.37287594187731854,0.6124932318520248
120,0.3150119270074665,0.5612592333382734,0.4404202217391304,0.3784715703800444,0.6160932161091552
125,0.31319393051480565,0.5596373205164267,0.4370373297731569,0.38205853458128025,0.6206627819649917
130,0.32099399611741897,0.5665633204836146,0.4422090069754253,0.3666687600702664,0.6072876031765585
135,0.31771856754946853,0.5636652974500634,0.44109683321361065,0.3731312835483769,0.6119797381820453
140,0.32533790213498837,0.5703839953355883,0.4454704768241966,0.3580980970126336,0.5989903426670283
145,0.3178220160384545,0.5637570540919683,0.4470161928355388,0.3729271764292693,0.6140519188750576
150,0.31954008167880954,0.5652787645744439,0.4485648211342155,0.3695373789394474,0.611072317635925
155,0.329739322628018,0.5742293292997301,0.45548325230623815,0.34941395608782055,0.5929839903097069
160,0.32646079854056637,0.5713674811717643,0.45098266287334593,0.35588258712316756,0.5991355105651515
165,0.3233474797033909,0.5686365092951655,0.44665960109640834,0.3620252630089922,0.6036411025563818
170,0.3229322267293433,0.5682712615726254,0.44880232160680533,0.3628445701739831,0.6043434173758717
175,0.3193722662783927,0.5651303091132104,0.44862049449905483,0.36986848399720795,0.6103686021500208
180,0.31874356206603804,0.5645737879728725,0.44643282219281666,0.37110893716198934,0.612308685522281
185,0.31482277951866333,0.5610907052506424,0.44327471221172027,0.37884476431844294,0.6166817901495892
190,0.313749059275878,0.5601330728281254,0.4399903527410208,0.3809632480936104,0.6179356813793028
195,0.31461570509025805,0.5609061464186839,0.4395248695274102,0.3792533286719384,0.6167652628836381
200,0.3159319688157083,0.5620782586221498,0.4410304273534972,0.37665629898478814,0.615784546134873
205,0.3169956235355756,0.5630236438512823,0.44261355945179587,0.3745576748025955,0.613377956407439
210,0.3132623173048594,0.5596984163858777,0.437779472362949,0.38192360529580005,0.6197355351714372
215,0.3162641426001732,0.5623736681248271,0.43896696965973536,0.37600090967118127,0.6144133691652425
220,0.30739279687071475,0.5544301550878296,0.43208305478260867,0.39350435353194446,0.6288177937138849
225,0.3070493923157036,0.5541203770984277,0.4342705143667297,0.39418190150870835,0.6292360273618246
230,0.30521916244213526,0.5524664355796968,0.42969416243856334,0.39779300255484584,0.6311429731509456
235,0.30607760557681085,0.5532428088794384,0.42857781117202265,0.3960992672779581,0.6300664209532801
240,0.3024020007141132,0.5499109025234117,0.42965154268431,0.4033513511590925,0.6359108840129842
245,0.3108014168368457,0.5574956653076737,0.43347215376181475,0.38677903924036716,0.6221801448229112
250,0.30471144145203183,0.5520067404045279,0.427836140321361,0.39879475202084813,0.6316109996967388
255,0.3060965250591341,0.5532599073303017,0.43091631803402647,0.3960619385448867,0.6293947178666189
260,0.3054809468760283,0.5527033081826346,0.4305447756899811,0.39727649364154183,0.6305036458000916
265,0.3044581669473996,0.5517772802022566,0.43126526741020793,0.39929447057633993,0.6319813024092121
270,0.30083813454976865,0.5484871325288941,0.4283756007939509,0.406436908237818,0.6376832984248595
275,0.30493159143729276,0.5522061131835583,0.43082420219281664,0.3983603891828441,0.63157079562014
280,0.3032406303180261,0.5506728886716924,0.4282316272589792,0.4016967086009381,0.6344930885722079
285,0.3073401850652695,0.5543827063187212,0.43067970718336485,0.393608158277144,0.628368840689073
290,0.3048485023698533,0.5521308743131952,0.429806115879017,0.3985243265235501,0.6328239852701522
295,0.3025998864567292,0.5500907983748948,0.4272490619092627,0.40296091637136655,0.6364288183679084
300,0.2977126970868089,0.5456305499940495,0.42464238364839324,0.41260349455308065,0.6449701413562483
305,0.29879029962637055,0.5466171417238674,0.42644637315689987,0.4104773508843924,0.6432832512698423
310,0.2979191253442855,0.5458196820785098,0.42486081039697543,0.4121962051151301,0.6441326227990523
315,0.2941664735405328,0.5423711584704084,0.42177684100189033,0.41960030503177104,0.6496696826684971
320,0.2979427747650013,0.5458413457819051,0.4246523607561437,0.41214954406499593,0.6443173324493174
325,0.29212680406922603,0.5404875614380279,0.41968010179584125,0.4236246369848117,0.6521885200414085
330,0.2915495954493065,0.5399533271027288,0.41870202638941395,0.42476348772773365,0.6532068927406345
335,0.29414695116921585,0.5423531609285741,0.42168756018903597,0.4196388232837698,0.6493200350556855
340,0.29263091064089763,0.540953704711316,0.41902285376181475,0.42263001887994,0.650895634905975
345,0.29147046138217103,0.5398800435116777,0.4210266999054821,0.4249196217285741,0.6529379702582441
350,0.29124237092733213,0.5396687603774487,0.42130947434782606,0.4253696513625439,0.6537625859144139
355,0.2881897758105905,0.536833098654126,0.4176726083931947,0.43139251744002105,0.6583985802773281
360,0.2890774362563252,0.5376592194469701,0.41815709366729675,0.4296411354904095,0.6568881391676297
365,0.2930202551265964,0.5413134536722659,0.42047333249527413,0.4218618299765027,0.6512953181360479
370,0.29064759198277657,0.5391174194762923,0.418564120510397,0.4265431689080299,0.6551573734191185
375,0.2907949211898069,0.539254041421858,0.419358602268431,0.42625248375349445,0.6550831813532217
380,0.289745535378303,0.5382801643923942,0.4198864211909263,0.4283229549311588,0.6563487406006553
385,0.29304650372893476,0.5413376984184038,0.42086000062381856,0.42181004065936145,0.6516279653408613
390,0.2951170328055861,0.5432467513069784,0.4230256388279774,0.41772482173537107,0.6480150486410615
395,0.29050334189654253,0.538983619321165,0.4182961688090738,0.42682777886048895,0.6546698572008073
400,0.2931724142671922,0.5414539816708269,0.42125710629489604,0.42156161521128654,0.6509395533001575
405,0.2887808853679722,0.5373833690839085,0.4200425013988658,0.4302262397107207,0.6586798670887433
410,0.28987230250097995,0.5383979035072295,0.42177162281663516,0.42807283941511054,0.6576584567318605
415,0.28585403665368064,0.5346531928771029,0.4180537743289225,0.43600100418522814,0.6638120869191971
420,0.2870624993110441,0.535782137917124,0.4199864939508507,0.43361666939250865,0.662118769571934
425,0.28726988647632756,0.5359756398161465,0.4213617634215501,0.4332074879993264,0.6621013406446656
430,0.28654783763579694,0.5353016323866358,0.42242705423440446,0.434632113048375,0.665204694702612
435,0.28595281580923293,0.5347455617480457,0.4216469743478261,0.4358061098076951,0.6656773885587225
440,0.29121122102054564,0.5396398993963898,0.4252388289981096,0.42543111110735965,0.6572117743061676
445,0.2888576726598238,0.5374548098769084,0.4226989321928167,0.43007473597125057,0.660548377371727
450,0.29112635408089627,0.5395612607303236,0.4243218509451796,0.42559855624579634,0.6569617404982748
455,0.2892179098661417,0.5377898380093675,0.42428151843100187,0.4293639766445788,0.6606401536301075
460,0.2877299348040007,0.5364046371947214,0.42250692185255195,0.432299798194168,0.6622419614310581
465,0.2867516546197613,0.5354919743747438,0.4208721863516068,0.4342299757351098,0.6638683718565112
470,0.28599200021029725,0.5347821988532315,0.422279565463138,0.43572879775322626,0.6655848250378126
475,0.2878840937601706,0.5365483144696017,0.4225444672967864,0.43199563772999017,0.6625146743199262
480,0.29304884543298576,0.5413398613006304,0.4240217373913044,0.42180542040369273,0.6535316880750612
485,0.28858956929071605,0.5372053325225989,0.42344168054820414,0.4306037123422737,0.6604953972840759
490,0.2888986720938371,0.5374929507387395,0.42382475003780723,0.4299938427997455,0.6608556584100331
495,0.2850317522923454,0.5338836505197976,0.4225594873534972,0.43762339706621145,0.6673403857667602
500,0.2846013044063165,0.533480369279242,0.4191403878638942,0.43847268426996366,0.6678093451850454
505,0.28546761416369354,0.5342916938936011,0.4232648603402646,0.43676342789931755,0.6666872885831305
510,0.2808626457745389,0.5299647589930286,0.41909460610586013,0.4458491752186341,0.6745493296014843
515,0.27967436449834343,0.5288424760723588,0.4182686617958412,0.44819369151221256,0.6752404349017265
520,0.2865593753588413,0.5353124091209182,0.4266123255387524,0.4346093487582947,0.6665631502007745
525,0.28999678933716816,0.5385134996795978,0.4280383948393195,0.4278272229759509,0.6602857649340607
530,0.2836559125662753,0.5325935716531653,0.4231619208128544,0.4403379720744549,0.670957593703857
535,0.28220681786527146,0.5312314164893408,0.42256712542533076,0.44319708144990455,0.6723454489178416
540,0.28724733269304686,0.5359545994699988,0.4263239390926276,0.43325198732237613,0.6642324117434188
545,0.2808746368615873,0.5299760719707893,0.4205068256710775,0.4458255164271292,0.6750435585509424
550,0.28549092659773007,0.534313509653022,0.42367442005671074,0.43671743173448985,0.6667479009745956
555,0.28467712786815985,0.5335514294500202,0.4256175834593573,0.43832308219738325,0.6685265980035268
560,0.28243297040231985,0.531444230754573,0.42283806854442346,0.44275087538862445,0.6718789522538324
565,0.2752983818747471,0.5246888429104883,0.41618449905482047,0.4568276427213792,0.6829429348378676
570,0.2814907030736139,0.5305569743897576,0.42092229083175803,0.44460999843407956,0.6725475870219135
575,0.2774552607149403,0.5267402212807945,0.4188560366729679,0.45257205300082237,0.679566948800118
