n_samples,mse,rmse,mae,r2,pearson_r
50,0.42000499683852,0.648077924973934,0.5193327356137479,0.27615118641705605,0.5399715316581722
55,0.4142947138777864,0.6436572953659319,0.5142025826677578,0.28599245396735395,0.547716839454267
60,0.4322208665609731,0.6574350664217518,0.5265216165139116,0.2550980016405875,0.5167978562753593
65,0.44332712168283306,0.6658281472593608,0.5329747019967267,0.2359571589034266,0.49568153297679673
70,0.42627999914148385,0.652901216985758,0.5269523906382979,0.26533666514607,0.520450893054049
75,0.42131741567788955,0.6490896823073754,0.5248368916530277,0.27388932566074986,0.5287405496871019
80,0.4218199950851948,0.6494767086548946,0.5270796173322422,0.2730231657092077,0.5330433205529965
85,0.41652291892783283,0.6453858682430479,0.5219933539934534,0.2821523006500454,0.5391185496240165
90,0.4263195783190647,0.6529315265164217,0.5284129382487726,0.26526845324156845,0.5231899234233369
95,0.4032123512430373,0.634990040270741,0.5155343532242226,0.3050921196981008,0.5527978964944928
100,0.3956814248375117,0.6290321333902678,0.511222362782324,0.31807113705468715,0.565246408550516
105,0.3979787160664776,0.6308555429466223,0.5123705913420621,0.3141119186095295,0.5624849904008349
110,0.39224314749313965,0.6262931801426067,0.5038796463175123,0.3239967641191902,0.5709607369667893
115,0.4002199806694693,0.6326294181189089,0.5093361516366612,0.3102492580792674,0.5599027284284214
120,0.40485695261530597,0.6362837045024067,0.5128178755319148,0.30225776591399267,0.5535874467235326
125,0.41158998688754134,0.6415527935310869,0.5165869538625205,0.2906538590403688,0.5446451730193164
130,0.40830826760044,0.638990037168374,0.5157513322913257,0.2963096694006295,0.5471561123704898
135,0.40474081634097525,0.6361924365637925,0.5133793847135844,0.30245791854317805,0.5510602907169401
140,0.41200256320506856,0.6418742580950482,0.5201062887725041,0.28994281302852976,0.5387685358495201
145,0.4110637924075648,0.6411425679266389,0.5188645586579379,0.29156071789422044,0.5416415336022359
150,0.4177394724893579,0.6463276819766873,0.5224200082651391,0.28005565689866496,0.5317184268794238
155,0.4056652065584733,0.636918524270156,0.517844651603928,0.30086479758685547,0.5492657549365385
160,0.40828833037368206,0.6389744364007703,0.5156897080360066,0.2963440297964427,0.5448212997613614
165,0.4133030052707311,0.6428864637482509,0.520215789623568,0.28770159339198076,0.5369226222107849
170,0.4077342640285713,0.6385407301250026,0.5159632964320785,0.297298923832403,0.5455340237272684
175,0.406083366455538,0.6372467076851304,0.5154572373977088,0.3001441286718267,0.5479489586703619
180,0.4089255955604028,0.6394729044771192,0.5187276878723405,0.2952457484597497,0.5439712805534814
185,0.4119242988199577,0.6418132896878638,0.5202846905728314,0.29007769614357537,0.539361128724194
190,0.40116056247559634,0.6333723726810291,0.5134259143535189,0.3086282320687018,0.555911368735039
195,0.4040481063633532,0.6356477848331993,0.5160855354173487,0.30365175504329855,0.5522827775040018
200,0.3985663053004339,0.631321079404477,0.5132208245008184,0.313099250253022,0.5604319923385778
205,0.39737069272959996,0.6303734549690365,0.5092011002945991,0.3151598036926654,0.563774102902601
210,0.39355177489201554,0.6273370504696941,0.5112105272831424,0.32174143764158003,0.5694981661975698
215,0.39947520008933035,0.6320405051017935,0.5121356642553192,0.3115328345685263,0.5614220967171569
220,0.4045890151341548,0.6360731209021135,0.5163164770540098,0.3027195371531578,0.5569859909990769
225,0.40670077894901635,0.6377309612595395,0.5164890824877252,0.2990800620434304,0.5537919697115754
230,0.4052711047694709,0.6366090674577852,0.5167845873649756,0.30154400405951076,0.5556005609653879
235,0.4037671752578748,0.6354267662428731,0.5165282852700491,0.3041359198721214,0.5578308660871485
240,0.4087579592298935,0.6393418172072695,0.5178871753518822,0.29553465778193866,0.550792139432756
245,0.4070799115788617,0.6380281432498583,0.5169022391653028,0.298426653854552,0.5537079319092825
250,0.4037067275779785,0.635379199831076,0.5130752406055648,0.3042400971597873,0.5580517530371709
255,0.40439910826799946,0.6359238226926237,0.5130650378723405,0.30304682816348516,0.5577440923271586
260,0.4025464878790819,0.6344655135459152,0.5088764123731587,0.30623968796427725,0.5605056044955975
265,0.40281743619703464,0.6346790024863235,0.5126324038625204,0.3057727277614972,0.5587359587748577
270,0.4037488109353994,0.635412315693833,0.5139929668412438,0.3041675694789978,0.5572911194812039
275,0.40422549085640014,0.635787300011883,0.51461141101473,0.30334604545458754,0.5563579854582428
280,0.40079274311478275,0.6330819402848124,0.5109454921603929,0.30926214264105656,0.5617097989597211
285,0.3983912060162871,0.6311823872830159,0.5113974397872341,0.3134010214463243,0.5650632022146068
290,0.40204322489259714,0.634068785616038,0.5135956724549918,0.3071070260160369,0.5603014960164249
295,0.39545095505102273,0.6288489127374101,0.5060759263829788,0.3184683353803559,0.5676430432669188
300,0.39387297068786553,0.62759299764088,0.5047755917512275,0.32118787947559646,0.5703279390029162
305,0.39000785072209704,0.6245060854163849,0.5041371776525603,0.327849139514493,0.5751801153546366
310,0.39885273149039535,0.6315478853502681,0.5096187233925649,0.3126056150359572,0.5634626041384312
315,0.39734397884596107,0.6303522656784546,0.5098690853846153,0.31520584317582334,0.5670131183217443
320,0.3961302586860666,0.6293887977125638,0.5097505578723404,0.3172976037605172,0.5695585651593144
325,0.39124602535577946,0.6254966229771185,0.5060818362239887,0.3257152333792189,0.5743580782029987
330,0.3970755531186079,0.6301393124687651,0.5114445294786065,0.31566845587267744,0.5670262127057114
335,0.39450799494299726,0.6280987143299986,0.5097811549520692,0.3200934602255079,0.5697568891445335
340,0.389658922485251,0.6242266595438319,0.5059580734907646,0.32845049257497505,0.5759307851827575
345,0.38527286979643915,0.620703528100525,0.4991745175169511,0.3360095432029593,0.5821109933702391
350,0.3828026326973994,0.6187104595021805,0.4998669598643909,0.34026682158504473,0.5858477260590766
355,0.3803990011855909,0.616764948084431,0.49779633108253446,0.34440930996306296,0.5890759505140091
