n_samples,mse,rmse,mae,r2,pearson_r
50,0.3723785943669298,0.610228313311444,0.48387508167983057,0.3334895027098218,0.5782461689243887
55,0.38991419141341815,0.6244310942076942,0.4985978197019775,0.30210300605148155,0.5553693681761585
60,0.4092427858034943,0.6397208655370671,0.5119436258713559,0.26750727135101804,0.5284077972594236
65,0.39877043762941533,0.6314827294783408,0.5027341002884745,0.2862514475600927,0.5399998071221164
70,0.405183083318008,0.6365399306547924,0.5021771102636158,0.27477362436750064,0.5344862709028491
75,0.3945841132261644,0.6281593056113747,0.4971782839140113,0.29374443776424874,0.5618963202852141
80,0.38579650584803177,0.621125193377335,0.49175213344717517,0.3094731414335544,0.5750621856084911
85,0.3898976216574336,0.6244178261848661,0.4954465281443503,0.30213266381502735,0.5675421817910024
90,0.3876759736395676,0.6226363092846157,0.49840209255418083,0.30610913224686354,0.5800892254600701
95,0.3922577290244639,0.6263048211729364,0.5007814218464971,0.2979083706933139,0.5798579691422528
100,0.38989008571334194,0.6244117917795451,0.5007381051707345,0.3021461522000206,0.5836277027603525
105,0.3960780942518669,0.6293473557995353,0.5048592936287005,0.2910704010407472,0.5816329232677743
110,0.39566661376891243,0.6290203603770806,0.5040927936729378,0.29180689896374257,0.5905298166961014
115,0.3849581605927303,0.6204499662283255,0.49793355039146886,0.31097367320810987,0.5915740884415526
120,0.3888793685801132,0.6236019311869657,0.49844851811824864,0.3039552077936518,0.6003133071477933
125,0.3740864268475772,0.6116260514788241,0.493419543099548,0.3304326989805426,0.6098360112271085
130,0.37854536098436325,0.6152604009558581,0.4981664854750847,0.3224517718975938,0.6004842851516333
135,0.37508993334706614,0.6124458615641599,0.4967431978781356,0.32863654950759724,0.6108866845561666
140,0.3781841023674604,0.6149667489933586,0.4996815417574011,0.3230983790443114,0.6086414756808808
145,0.358973748906592,0.5991441803995028,0.4896988714253107,0.35748247746460593,0.6271115738375165
150,0.36567101896957194,0.604707382929605,0.49318660396926556,0.34549521270855277,0.6159324250488623
155,0.3622071963714204,0.601836519639196,0.4866261924286441,0.3516950162347029,0.6202449439820066
160,0.3584578612616257,0.5987135051605448,0.48370934293276835,0.35840585097746025,0.6289817517440695
165,0.36156614761900613,0.6013037066400024,0.4818781487279096,0.3528424122698731,0.6172524724337299
170,0.3655368000162175,0.6045963943129479,0.48668139925881354,0.34573544762725983,0.61138388016598
175,0.37459497834965316,0.6120416475613838,0.48990525559598874,0.32952245623384946,0.596862751671872
180,0.3766568242472275,0.61372373609567,0.49594638386954804,0.32583201334772083,0.5935021785715943
185,0.36860110732995,0.607125281412288,0.4858180713001694,0.34025072583491844,0.6052908831108326
190,0.3645905993304167,0.6038133812117918,0.48037273820649706,0.3474290269553132,0.6083040832040555
195,0.3609528243797139,0.6007934956203453,0.48019622477135593,0.35394018314984343,0.6105195669505952
200,0.3543389033477357,0.5952637258793246,0.47599042303389827,0.36577826370212674,0.6241245687193248
205,0.3731719643436326,0.6108780273865091,0.4844201957435028,0.3320694709848344,0.5989895336492789
210,0.3697662664402773,0.6080840948752708,0.48061505027892654,0.3381652386726751,0.6049624080083015
215,0.3611547828652959,0.6009615485746953,0.4708006285671187,0.3535787030521862,0.6120090870807171
220,0.3645178308886386,0.6037531208106826,0.4772346760840113,0.3475592732451114,0.6090621841552023
225,0.3497293596234733,0.5913792012097426,0.4663073397618079,0.374028762861892,0.6294243631821729
230,0.3474214335212717,0.5894246631430277,0.4660837389622599,0.37815965813180563,0.6330181414288716
235,0.3507835968646671,0.5922698682734646,0.46696766004220336,0.3721418117897327,0.6278254063262445
240,0.3443653298418284,0.5868264904056636,0.4627865512818079,0.3836296964583077,0.6338065427897992
245,0.3454478580600975,0.5877481246759512,0.4648812422051412,0.38169210812212584,0.6305998754093896
250,0.3525709354820676,0.5937768397993202,0.4700976054475707,0.3689427021504291,0.6224433818734079
255,0.34435921557719007,0.5868212807807758,0.46724207398734463,0.3836406402172302,0.6330165573125209
