n_samples,mse,rmse,mae,r2,pearson_r
50,0.4884950994419852,0.6989242444228024,0.4631837672413792,0.12344837481692739,0.3925891706461167
55,0.48646808110289924,0.6974726382467625,0.4602969168045977,0.12708564000429845,0.3991263252195943
60,0.4965043578681002,0.7046306535115402,0.47344507170114947,0.10907662677290009,0.3652346732575889
65,0.49020873573729434,0.7001490810800899,0.47051334777011494,0.12037343981483273,0.3779108426465759
70,0.4822907140467794,0.6944715358074652,0.46819662087356323,0.13458147340408255,0.3950436821892535
75,0.4915837779586876,0.7011303573221513,0.47376700422988505,0.11790607525941665,0.37936358233530676
80,0.4859309588785985,0.697087482945002,0.46363764845977007,0.128049447746015,0.3915101337066088
85,0.4972596766627713,0.7051664177077431,0.4660997075172414,0.10772128888362209,0.37133872546862107
90,0.5097550089056243,0.7139712941747899,0.47355995160919545,0.08529976654453053,0.34787618685647315
95,0.5056630697861468,0.7110999014105872,0.4736581137011494,0.09264230875104495,0.35273010171688135
100,0.5035963342983188,0.7096452172024545,0.4743775051494252,0.09635084206642208,0.359370795149274
105,0.5086893889802114,0.7132246413159121,0.4691260809195403,0.08721190625384412,0.35714039524564617
110,0.5199048980129338,0.7210443107139352,0.47046249202298857,0.06708688825239784,0.33845893559078627
115,0.5219571321032281,0.7224660075762929,0.4684963610344828,0.06340437612656802,0.3381638358147882
120,0.5170911086331936,0.7190904731904002,0.4717508922758621,0.07213592898290189,0.3427602339990473
125,0.5216055718312417,0.7222226608402991,0.4764681786206897,0.06403521301338944,0.32829128340740066
130,0.495521768748741,0.7039330712139763,0.4724172011954023,0.11083977668053557,0.37357271056327035
135,0.4950180290680994,0.7035751765576294,0.46615616457471265,0.11174368305797922,0.3806786772539419
140,0.5002503995932268,0.7072838182746914,0.46895296480459775,0.10235476003173061,0.37112192459354204
145,0.48716632551698597,0.697973012026243,0.4700184565747127,0.12583271591838263,0.38851126333904845
150,0.49081320715397214,0.7005806214519298,0.4727273449885057,0.11928878123121356,0.37964407798532307
155,0.4868129422407924,0.6977198164312036,0.4731165212413793,0.1264668239890957,0.3873344445847593
160,0.49672166040364174,0.7047848326997692,0.4771510636321839,0.10868670087414911,0.36860139802665354
165,0.49199258350535585,0.7014218299321427,0.47451104050574716,0.11717251791825756,0.3781730676480346
170,0.4652453758567434,0.6820889794277162,0.46792791777011494,0.16516748933205927,0.4190728942328855
175,0.4664293933487718,0.6829563626973335,0.4672163009425287,0.16304289799415594,0.4176168154267534
180,0.46312498277109837,0.6805328667824195,0.47377738154022986,0.16897230540364783,0.41862282218307295
185,0.46109849146332416,0.6790423340730121,0.4681967745057472,0.17260862489032847,0.4247942672561657
190,0.4573175930437625,0.6762526103785201,0.46747162652873564,0.1793930381999086,0.43100384914102974
195,0.45974061770494973,0.6780417521841481,0.46445152859770117,0.17504518249562717,0.4301248041295301
200,0.4703327589008423,0.6858081064706383,0.4766644208045977,0.1560387306601142,0.4067385440404741
205,0.46065735362550375,0.6787174328286432,0.4697257076091955,0.1734001990312214,0.42650394524420787
210,0.47425178022857717,0.6886594080012101,0.47733040862068976,0.14900647072981554,0.4018504078134103
215,0.45895310413523493,0.6774607768241899,0.4666204665977012,0.17645829042685468,0.42996159587037286
220,0.45235186434830255,0.672571084977865,0.46629730080459775,0.18830350130014395,0.4420507158458521
225,0.4523377620429518,0.6725606010189356,0.4654582226436782,0.18832880636193106,0.44169602140563347
230,0.44622109465322796,0.6679978253357027,0.45912158999999997,0.19930450447495462,0.4539860328013489
235,0.45913171757534127,0.6775925896697376,0.4657244425517242,0.17613778792563495,0.43078410352077884
240,0.45103429279823826,0.6715908671194377,0.46469034354023,0.19066774095131578,0.44441612227780336
245,0.4529742342868958,0.673033605614828,0.4668336954712644,0.18718672575467343,0.44098728020689565
250,0.45212040483776916,0.6723989922938383,0.4671083656781609,0.18871883035944037,0.4426806468618658
255,0.4546692892042257,0.6742916944499804,0.4694880754712644,0.1841451330257856,0.4381165981085571
260,0.45596820157867257,0.6752541755359034,0.46674365452873573,0.18181437524726873,0.43594423593139925
265,0.44518478000880973,0.6672216873040098,0.46076782751724144,0.20116405902689083,0.4554216836846842
270,0.4523128418369942,0.6725420743990626,0.46407914002298856,0.18837352297640053,0.44286965855065286
275,0.44731723125008516,0.6688177862841905,0.46058160333333326,0.19733760589911353,0.4514051363733243
280,0.4427919185610279,0.6654261180334207,0.45640235006896557,0.20545779010686893,0.46024833319005043
285,0.4474112072220327,0.6688880378822997,0.4584219670114943,0.19716897618095908,0.4534105091245723
290,0.4504668675577211,0.6711682855720472,0.4576036277011494,0.19168592417836017,0.44783100015876626
295,0.4548207983456171,0.6744040319760974,0.45893073264367823,0.18387326625727873,0.439971756948229
300,0.452174135337326,0.672438945434696,0.462951689954023,0.18862241678894143,0.44243800424779406
305,0.4589831094990835,0.6774829219242973,0.4657935657471265,0.17640444904650976,0.4305589349159432
310,0.45205258070741233,0.6723485559643988,0.4594400320459771,0.18884053342618312,0.4431724546443566
315,0.45056796095023166,0.6712435928560001,0.45970175218390813,0.19150452301875454,0.44585677478632446
320,0.44269208873616905,0.6653511018523747,0.45261535641379314,0.20563692393097843,0.4614748212801281
325,0.44444077014816563,0.666663910938762,0.45085660997701155,0.20249910425711892,0.45992551704935764
330,0.4477887286311556,0.6691701791257255,0.4516351492643679,0.19649155484124425,0.45491109349491227
335,0.4409607278936598,0.6640487390950003,0.44868836616091956,0.2087436637161133,0.4670317276934984
340,0.44866316773994697,0.6698232361899272,0.4527141109655172,0.19492246843114458,0.4534925095790312
345,0.44641081742674177,0.6681398187705487,0.4512696851494253,0.19896406747641016,0.45616712147737015
350,0.44490529916651744,0.6670122181538487,0.44869038397701155,0.20166555717251944,0.4587209726444425
355,0.4435426219841244,0.6659899563688062,0.44879039554023,0.20411073400272906,0.46081882205397384
360,0.4424475634768078,0.6651673199104176,0.45023470620689654,0.20607569806348502,0.46261930768246934
365,0.4567824199346511,0.6758568043118683,0.45637739347126444,0.18035334846521467,0.43680736724601116
370,0.4526861111128612,0.6728195234331873,0.45578094301149424,0.18770373162994514,0.44440184569345254
375,0.45582882463411317,0.6751509643288034,0.4572094363218391,0.18206447210065813,0.43799904906560727
380,0.4550743405337258,0.6745919807807722,0.4560583584137931,0.183418312221316,0.439172210997599
385,0.447082221279206,0.6686420726212239,0.45331950650574715,0.19775930587551793,0.45399895466544926
390,0.4474649868247432,0.6689282374251689,0.45496413406896546,0.1970724745001613,0.452462182261611
395,0.447058564163885,0.6686243819693424,0.4531866522068965,0.19780175601044347,0.4542830186209981
400,0.4415374938498887,0.664482877017827,0.45114710639080463,0.20770871958492299,0.46352860473289037
405,0.4432401976999245,0.6657628689705701,0.45268545174712643,0.20465340167352675,0.4599120551804649
410,0.43810502443929344,0.6618950252413848,0.452775661816092,0.2138679147205249,0.46863291720487965
415,0.4312369292498838,0.6566863248537187,0.45072474455172423,0.22619196875313663,0.48030209745022817
420,0.43057469241890756,0.6561819049767431,0.4498024922988506,0.22738028112538233,0.4813471746152734
425,0.4327310394177988,0.65782295446252,0.4501321728735632,0.2235109496448907,0.4777038283545137
