n_samples,mse,rmse,mae,r2,pearson_r,sampling_time_seconds
50,0.3723785943669298,0.610228313311444,0.48387508167983057,0.3334895027098218,0.5782461689243886,
55,0.3873654893823021,0.6223869289937748,0.4943666174141243,0.30666485972379487,0.5553982966860717,0.7569789999979548
60,0.3763909561892784,0.6135070954677528,0.4863958586164972,0.3263078834814982,0.5734956184900234,1.1652532999869436
65,0.3753883441497699,0.6126894353175758,0.4803082557452542,0.3281024319844217,0.5751001689792863,0.9366028999793343
70,0.38850114590404744,0.623298600916164,0.49158265272706214,0.3046321784566395,0.5584270529691528,0.5060654999688268
75,0.3762753537906921,0.6134128738384059,0.48398975834621455,0.3265147971262009,0.5745192855263808,0.5957512999884784
80,0.3776996111154567,0.6145727061263433,0.4844264417418079,0.3239655569922133,0.5712816248897542,1.007140600006096
85,0.3585886328544965,0.5988227056938443,0.47363174465401114,0.3581717863971804,0.6012809873859989,0.4687631000415422
90,0.37896279090515045,0.6155995377720409,0.4865518183455367,0.3217046252347716,0.5875108408742489,0.6614301999798045
95,0.37525547089929395,0.6125809912977173,0.48307145867887,0.3283402582654996,0.5938080496848618,0.6046077000210062
100,0.36013618198620834,0.6001134742581675,0.4762141745565537,0.35540186955190145,0.6114288002812208,1.1650230000377633
105,0.3651803102399437,0.6043015060712191,0.4752670744564407,0.34637351915354364,0.6171548056902281,0.47478920000139624
110,0.36304962898461757,0.6025359980819549,0.47438507428457627,0.35018716860745114,0.6187719339234727,1.250328800000716
115,0.3592927292138932,0.5994103179074358,0.4708938670372881,0.35691154313470297,0.6163543680672934,0.477338700031396
120,0.3502989744720104,0.5918606039195466,0.46953674041666665,0.3730092244627856,0.6268884905849672,0.558716400002595
125,0.3581898240657277,0.5984896190125002,0.4770940553970622,0.35888560359330013,0.6214997529065488,1.0286353999981657
130,0.347340568673876,0.5893560627276825,0.4675975126453107,0.3783043959617085,0.6340366880199885,0.9933163999812678
135,0.3430718673735342,0.5857233710323793,0.46379542240113003,0.3859448303731199,0.6365975935960101,1.521115900017321
140,0.3541886896224059,0.5951375384080607,0.4654608787346327,0.3660471272358634,0.6238785077092927,0.546841100032907
145,0.35414047420331474,0.5950970292341533,0.4694045399079661,0.36613342672633253,0.6275235459218642,0.44700289994943887
150,0.34284088791237133,0.5855261633030341,0.4661634507138418,0.38635825433962145,0.6365598552335053,1.1960097999544814
155,0.34677135836912143,0.5888729560517458,0.468139786049435,0.37932321027870664,0.6290689826295814,0.5551466000033543
160,0.3531896406397732,0.5942976027545234,0.4707111447416384,0.3678352983184784,0.6216815868347983,0.8922814000397921
165,0.3641354611174599,0.603436377025333,0.4800080229842372,0.34824366668284457,0.6141033785130914,0.730459599988535
170,0.36466470501623477,0.6038747428202597,0.48049241393,0.3472963871681348,0.6207577784493257,0.843631399970036
175,0.3652148889319863,0.6043301158572079,0.4748276001452542,0.3463116276764888,0.6182984691266821,0.4440122999949381
180,0.36745519428022466,0.6061808263878236,0.4767904260645762,0.34230176498748355,0.6117708152865086,0.9768658999819309
185,0.3631730138758956,0.6026383773673027,0.47628246687892656,0.3499663252870029,0.6131492127505984,0.9675956999999471
190,0.342746207494155,0.5854453070049798,0.46475108540875704,0.3865277202906283,0.6361065379928773,0.6440822000149637
195,0.3504918986455789,0.5920235625763377,0.47265834457129946,0.3726639146388335,0.6320420869932338,0.6158411999931559
200,0.3356249547037507,0.5793314722192734,0.4635335088957628,0.3992738604030337,0.6465781635077493,0.5107650000136346
205,0.3361186893328657,0.5797574400840974,0.4670330263777966,0.39839013798139367,0.6486069508071701,0.49001799995312467
210,0.33908532906358685,0.5823103374177612,0.4687783177709604,0.39308022878651827,0.6427505926089858,0.7012224000063725
215,0.34115036893541767,0.5840807897332506,0.47008870114440676,0.38938406909120094,0.641625819750659,0.7279192000278272
220,0.351833052581725,0.5931551673733653,0.47702422997604516,0.37026341903987703,0.6199045787142161,0.4961191999609582
225,0.34489260124321086,0.5872755752142352,0.4757432188322599,0.38268594746398166,0.6303629076324415,0.4223505000118166
230,0.34129705897752355,0.5842063496552597,0.47160932715084736,0.3891215125039251,0.6353869016464495,0.4871330999885686
