n_samples,mse,rmse,mae,r2,pearson_r,sampling_time_seconds
50,0.4884950994419852,0.6989242444228024,0.46318376724137933,0.12344837481692739,0.3925891706461167,
55,0.4871992402973611,0.6979965904625617,0.4618122392643678,0.12577365390473427,0.3925603843968978,4.738538899982814
60,0.4875878913847275,0.6982749396797279,0.468259662183908,0.12507626156108675,0.3861745416784146,1.2374511000234634
65,0.4997082603025506,0.7069004599677033,0.47036302388505746,0.103327570356462,0.3798530181519125,4.098587499989662
70,0.4886443712470698,0.699031023093446,0.46315248868965514,0.12318052270645519,0.3908749844824892,1.959812699991744
75,0.4736925489901742,0.6882532593385767,0.4575159227586207,0.15000995070624779,0.41420907112494165,2.430687299987767
80,0.4683124552743847,0.6843335847920842,0.4556340279080459,0.15966394702187015,0.4215353393161865,4.655573999974877
85,0.47808880859706976,0.6914396637430267,0.4612268913103448,0.1421213382973353,0.4092521671199565,1.4516528999665752
90,0.47740633093793866,0.6909459681754707,0.4594133988735632,0.14334597064665844,0.41263962638684465,7.295236699981615
95,0.46759312925687646,0.6838078160249972,0.46491303121839084,0.16095469976514964,0.431090058612338,3.610794300038833
100,0.4749457927665037,0.689163110421984,0.46658001855172415,0.1477611402879916,0.42160136440535356,1.8957681999891065
105,0.4679895617699899,0.6840976259058278,0.46811875078160914,0.16024334449456057,0.4315247496594077,3.0067326999851502
110,0.4401341194270338,0.663426046690235,0.46595341043678157,0.2102269232117332,0.4746269509800987,2.330331599980127
115,0.4403757876815421,0.663608158239139,0.4625498626666666,0.20979327566544992,0.4758291963923823,2.3045682999654673
120,0.43710037491341897,0.6611356705801155,0.45691178101149416,0.21567064964181815,0.4759294076911201,3.039614300010726
125,0.44492054120470703,0.6670236436624319,0.4664097549425288,0.20163820698341528,0.4644037968035176,4.605456100020092
130,0.4557613172101243,0.6751009681596704,0.47470808264367814,0.1821856068720754,0.45363399920736674,7.025367099966388
135,0.4490943574845329,0.670145027202719,0.47507854262068966,0.1941487450676741,0.4634107660703904,13.030166600015946
140,0.4460868937770616,0.6678973676973593,0.4737004695632184,0.19954531343340487,0.4622227831072355,0.49079459998756647
145,0.45314933847740074,0.6731636788162302,0.47819804073563216,0.1868725202223379,0.45118195870031,1.2701773000299
150,0.4454163539980372,0.6673952007604169,0.4820810610804598,0.20074852454795888,0.4618568296288643,2.095683799998369
155,0.45659550748980865,0.6757185120224313,0.47963805011494254,0.1806887426328957,0.44379530027899905,0.9808876999886706
160,0.4462389700399369,0.6680112050257367,0.477129590183908,0.19927242902672937,0.45907298694352205,2.1026894000242464
165,0.45455917698242404,0.6742100392180644,0.47860321335632183,0.1843427174991673,0.4558855136475856,1.5791195000056177
170,0.44996841069243076,0.6707968475570162,0.4825971191954023,0.19258035111499272,0.46379081705108044,2.1184034000034444
175,0.44612718750920416,0.6679275316298948,0.48574872121839074,0.19947301068884382,0.4791007525841956,1.637645499955397
180,0.44145884687583964,0.6644236952997986,0.4786619660689655,0.20784984307418042,0.48516821309445535,2.436928100010846
185,0.44826576258089834,0.669526521193073,0.48452332147126426,0.19563556900967272,0.4780704990924245,1.5280694999964908
190,0.45334165986887487,0.6733065125697767,0.4859887431724137,0.1865274202849041,0.47025008013355885,2.8500543999834917
195,0.4371944282120003,0.6612067968585927,0.47255756802298843,0.21550188116938218,0.48643049265052285,1.562783200002741
200,0.44716439973175665,0.6687035215487926,0.4755234785747127,0.19761184553001898,0.473766228357343,2.3924882000428624
205,0.4486763987582574,0.6698331126170588,0.4773636893333333,0.19489872679972176,0.4673744224364863,1.2782285999855958
