n_samples,mse,rmse,mae,r2,pearson_r,sampling_time_seconds
50,0.31305867574850677,0.5595164660208909,0.4573348291423948,0.1830793508375108,0.4462398963756599,
55,0.335134613500925,0.5789081218128875,0.4657905737216828,0.12547261192041437,0.43242951811530195,0.00016499997582286596
60,0.34131548348383056,0.5842221182767994,0.4668488526699029,0.10934374947393644,0.4363704842610283,0.00015029998030513525
65,0.31834131138861194,0.5642174327230699,0.4471996480258899,0.16929441379308774,0.4640046873729106,0.00013960001524537802
70,0.3182660482809012,0.5641507318801432,0.4445054726375404,0.1694908114385516,0.47356752414364867,0.00013780000153928995
75,0.3261686946541663,0.5711118057387418,0.4503833018932038,0.14886900630916577,0.467686918332222,0.00014259997988119721
80,0.3289110477571281,0.5735076701816011,0.4537158454368931,0.14171288814138805,0.4594906714101182,0.00013950001448392868
85,0.3203931393286569,0.5660328076433881,0.45080214836569577,0.16394020788027108,0.46427686956423764,0.00014670001110062003
90,0.32472649001007303,0.569847777928521,0.4561112145954692,0.15263241184731569,0.46145942400728585,0.00013429997488856316
95,0.32225929102400636,0.5676788625834208,0.45150986595469256,0.15907052059000315,0.46068909091090915,0.00013489997945725918
100,0.3195916923898785,0.5653244134033825,0.44800950024271846,0.16603156839577415,0.46446389659496756,0.0001640000264160335
105,0.3137318830525798,0.560117740348027,0.44550355333333325,0.18132262920521813,0.4730692441539325,0.00014700001338496804
110,0.3204466727983609,0.5660800939781939,0.45032291894822,0.1638005133111362,0.45981872062769996,0.00014030002057552338
115,0.3238678416631173,0.5690938777241565,0.44960988069579294,0.15487303834750854,0.4589352009646657,0.0001425000373274088
120,0.31944977253368256,0.5651988787441837,0.4448544499838188,0.16640190555629342,0.4665631761711987,0.00013930001296103
125,0.3202574161145956,0.5659129050610134,0.4425338651132686,0.16429437502121425,0.4683404989394593,0.00014329998521134257
130,0.33222585105706454,0.5763903634318192,0.4483882816990292,0.13306297209240603,0.45579944174875087,0.00013970001600682735
135,0.3274895290787109,0.5722670085534469,0.44422461822006476,0.14542231404626882,0.46476404330271753,0.00015540001913905144
140,0.3238552844017355,0.5690828449371282,0.44117552444983815,0.15490580628181094,0.46918539501950746,0.0001379000023007393
145,0.3302980814364497,0.5747156526809146,0.4441777157119741,0.13809345018454988,0.4630027486772217,0.00013649999164044857
150,0.3289257740000832,0.5735205087876833,0.4420733280420712,0.14167446029099906,0.4677147724343604,0.00014620000729337335
155,0.324573173005116,0.5697132375196455,0.4409279040614887,0.1530324896503591,0.46963695089867113,0.00014750001719221473
160,0.32431696202094745,0.5694883335248822,0.4387254455987056,0.15370106733155287,0.4727482814840601,0.00014509999891743064
165,0.3185866365243334,0.564434793864033,0.4357325576537217,0.16865424252599137,0.47552802459073257,0.00015849998453631997
170,0.31493874573928016,0.5611940357303169,0.43396252205501623,0.17817334402054164,0.4799599968790197,0.00015169999096542597
175,0.3095667680498885,0.5563872464838572,0.43528059344660197,0.19219141744020218,0.4824206878195413,0.00014400004874914885
180,0.30853077554437486,0.5554554667517234,0.43210895103559865,0.19489482014293236,0.4858809080713021,0.00014819996431469917
185,0.3126485281505112,0.5591498262098551,0.43416743854368944,0.18414962317928785,0.47849242384178864,0.00015090004308149219
190,0.30810092054083427,0.5550683926696189,0.43156783239482205,0.19601651858396274,0.4876799348803986,0.00013729999773204327
195,0.31265390258471787,0.5591546320873304,0.43425546957928807,0.18413559869563323,0.48156765708800536,0.00014629994984716177
200,0.3125329878079754,0.5590464987887639,0.4346701530744337,0.1844511235015618,0.48040519263881615,0.00014050002209842205
205,0.3066768219546677,0.5537840932662004,0.43321799898058255,0.19973267670895634,0.48684904628643855,0.00013749999925494194
210,0.30922019037829823,0.5560757056177676,0.43724507425566345,0.193095805270323,0.4803359493274425,0.0001468999544158578
215,0.3105009190527942,0.5572260932985768,0.4367008682038835,0.18975376819797973,0.478984760367999,0.0001534000039100647
220,0.31374976451296616,0.5601337023541488,0.4371053331067962,0.18127596787506384,0.47487824820815505,0.0001446999958716333
225,0.3103050379640617,0.5570503011075946,0.43223298995145637,0.19026491616659413,0.4855352806773457,0.0001406000228598714
230,0.3153524437090865,0.561562502050383,0.43964738655339813,0.17709380705117517,0.47471178516097745,0.0001496000331826508
235,0.3114719427699172,0.5580967145306601,0.4368854080097088,0.18721990031060143,0.47925057622416506,0.00014460005331784487
240,0.3104432544758291,0.5571743483648804,0.4357592337540454,0.1899042428127955,0.4787050924333201,0.00014820002252236009
245,0.30713913894109424,0.5542013523450608,0.4335695153721683,0.1985262693421349,0.4828178130390295,0.00013760000001639128
250,0.30218367867872037,0.5497123599472004,0.42864342778317155,0.2114574484725592,0.49222610221082075,0.00015849998453631997
255,0.30324823550810354,0.5506797939893051,0.43535270545307453,0.20867950771097277,0.48525009876210345,0.00014579994603991508
260,0.3023454431543655,0.549859475824838,0.4328071636569579,0.21103532715571816,0.49052853728708895,0.00014630000805482268
265,0.3006059856155853,0.5482754650862879,0.43207807328478964,0.21557440845852294,0.49266955442102484,0.0001446999958716333
270,0.2989398731746089,0.5467539420750516,0.4306153005501619,0.2199220971261694,0.4967234818960467,0.00015159999020397663
275,0.29614794147092427,0.5441947642810654,0.4301578793203883,0.2272075897078336,0.49880214999241035,0.00014570000348612666
280,0.2946028723640987,0.5427733158180298,0.4298801404045308,0.23123941810144388,0.5031845933404737,0.00015600002370774746
285,0.2916313025515129,0.5400289830661988,0.42732343464401296,0.238993672905356,0.5038293610094914,0.00014439999358728528
290,0.2917525546963939,0.5401412358785375,0.4283311413592234,0.23867726774369846,0.5039497726964335,0.0001495999749749899
295,0.29072464040681273,0.5391888726659821,0.4266626904854369,0.24135959049588007,0.5070718832163343,0.00014600000577047467
300,0.29509601419003123,0.5432274055955123,0.43098994605178,0.22995257390328583,0.49839153010784965,0.00014349998673424125
305,0.28997227055759905,0.5384907339570469,0.4252330623139158,0.24332288528130763,0.508876344049165,0.00014969997573643923
310,0.2881591301237558,0.5368045548649488,0.4259421980582525,0.24805424069478255,0.5129462837120912,0.00014859996736049652
315,0.2918389062178468,0.5402211641706078,0.42762184519417484,0.23845193509385954,0.503629287769567,0.00014750001719221473
320,0.2976424080691996,0.5455661353760877,0.429137073236246,0.22330780759607538,0.4937969954876163,0.00014519999967887998
325,0.2962894343631834,0.5443247508272827,0.4276689150323624,0.22683836670157187,0.49554036138756874,0.00015199999324977398
330,0.29590711544274956,0.5439734510458664,0.4292229233656958,0.22783602063951547,0.49502358824651216,0.0001419999753125012
335,0.2923703851491328,0.5407128490697561,0.4303176106472493,0.23706505094977937,0.5012329244558088,0.00014509999891743064
340,0.29401128829739154,0.5422280777471704,0.4325861480420712,0.2327831454511271,0.49793571394596686,0.00014590000500902534
345,0.29468094691191726,0.5428452329273209,0.4338250467475729,0.23103568405658947,0.4935101108721301,0.00014739995822310448
350,0.29208707286622543,0.5404508052230336,0.4331022535436894,0.237804348953628,0.4980736883270906,0.00014970003394410014
355,0.28896610243654675,0.5375556738018368,0.4319981507281554,0.24594846182107744,0.5037400626071715,0.00015000003622844815
360,0.28782081076129484,0.536489338907396,0.43084537417475727,0.24893707862458925,0.5077183508026666,0.00014519999967887998
365,0.2903904323994019,0.5388788661651168,0.433115427880259,0.24223169992302374,0.5023066019071739,0.00014369998825713992
370,0.29215699044358445,0.5405154858499287,0.43377654948220057,0.2376219003677602,0.4982696552597076,0.000152299995534122
375,0.28922121792292305,0.5377929136042265,0.4333210641747574,0.2452827428204981,0.5045261297717454,0.00014830002328380942
380,0.29533623110561913,0.5434484622350303,0.4357176671359223,0.229325732439293,0.49304414839169525,0.00014709995593875647
385,0.29275423256992716,0.5410676783637396,0.433241443300971,0.23606340841926987,0.49835615032230096,0.0001385000068694353
390,0.2949094795229479,0.5430556873129567,0.43402150825242725,0.23043933256269922,0.4930205245129201,0.00019300001440569758
395,0.289122583159954,0.5377012024907085,0.4310955265695794,0.24554012835502148,0.505525545400133,0.00014259997988119721
400,0.2937067760751079,0.5419472078303457,0.4342917243851133,0.23357776429282218,0.49535386403055104,0.00014359998749569058
405,0.29243393628551667,0.5407716119449288,0.43383144069579294,0.23689921547032622,0.49946224604951917,0.00014270003885030746
410,0.3009614474130958,0.5485995328225278,0.4401919247572816,0.2146468376710967,0.48347481094894446,0.0001471999567002058
415,0.29767587000290574,0.5455968016795055,0.4369487307119742,0.22322048931767258,0.4885631015590928,0.00014519999967887998
420,0.29667545124363887,0.5446792186632778,0.43686740932038837,0.22583106300741485,0.4915380973413065,0.0001476999605074525
425,0.3009152607761782,0.5485574361688831,0.43903280048543697,0.21476736082006576,0.48212941098822854,0.0001734999823383987
430,0.2963485370416609,0.5443790380255846,0.4356619936893204,0.2266841393882617,0.4917095531886134,0.00014780001947656274
435,0.29840440097370746,0.5462640396124455,0.4368289103721684,0.221319401631221,0.48799296847119983,0.0001555999624542892
440,0.2991944010415985,0.5469866552682967,0.43680792529126217,0.21925791150718288,0.48736717365919485,0.00014439999358728528
445,0.3002439439567539,0.5479452016002639,0.43640621907766997,0.21651914926868998,0.4869947850898906,0.0001453000004403293
450,0.2975872399287356,0.5455155725813293,0.4345319304854369,0.22345176780741027,0.4936619147645308,0.00014980003470554948
455,0.2964104956424759,0.5444359426438301,0.4358354474271845,0.22652245960003048,0.4946887023188776,0.00015159999020397663
460,0.2956116913116379,0.5437018404526859,0.43377196228155346,0.22860692428046703,0.49589046759785266,0.00015029998030513525
465,0.2999658836104671,0.5476914127594728,0.4360724392233011,0.21724474244400083,0.4876452339867863,0.0002738999901339412
470,0.29976921192128386,0.5475118372430717,0.4358571856796117,0.21775795346942695,0.48978888707056467,0.00015390000771731138
475,0.2976318198273389,0.5455564313866521,0.4351552196601942,0.22333543741145634,0.4928179664539918,0.00014590000500902534
480,0.29400442118328457,0.5422217453987663,0.43347676784789646,0.23280106505453924,0.49820255272238256,0.00019619998056441545
485,0.29241128704424285,0.5407506699434064,0.43272747815533985,0.23695831823385827,0.5009408488861704,0.00015320000238716602
490,0.2992245356048895,0.547014200551402,0.4360229825404531,0.21917927593847664,0.4867452683062034,0.00014349998673424125
495,0.2981585856923644,0.5460389964941739,0.4354645865372169,0.2219608519239774,0.48971818519033394,0.00015839998377487063
500,0.2996719257283076,0.5474229861161364,0.4360530086084142,0.2180118199362504,0.4847790240006736,0.00015270005678758025
505,0.2988660161547733,0.5466863965334909,0.43641409231391587,0.22011482561211537,0.4874395095002781,0.00014780001947656274
510,0.29559764860286825,0.543688926319884,0.433311162880259,0.22864356846142342,0.4930848002667317,0.0001501999795436859
515,0.29160652187468217,0.5400060387390887,0.43162271008090614,0.23905833760936035,0.5014540918809678,0.00014750001719221473
520,0.2918760285294559,0.5402555215168614,0.43136123279935273,0.238355065129066,0.5015714251711259,0.00014179997378960252
525,0.2875243530992133,0.5362129736394051,0.42884060838187704,0.2497106792449133,0.5103620419026272,0.00014869996812194586
530,0.28602755259105617,0.5348154378765222,0.42767829823624604,0.2536165516500364,0.5121617531216669,0.00014509999891743064
535,0.2857926454931477,0.5345957776611668,0.4273906129611651,0.2542295372459711,0.5135291897465569,0.00016569998115301132
540,0.2882683289324145,0.5369062571179577,0.43046608881877024,0.24776928848432567,0.5062556418135045,0.00018420000560581684
545,0.28710557013677795,0.5358223307559866,0.4275012867799354,0.25080348540565256,0.5108420817857567,0.00017060001846402884
550,0.29065426490876495,0.5391236081908907,0.429100217605178,0.24154323401705968,0.5025710073483206,0.00016449997201561928
555,0.28929583828501926,0.5378622856131663,0.4281632135436894,0.2450880224074682,0.5061918300162073,0.00017279997700825334
560,0.2893322225571261,0.537896107586889,0.42916935550161817,0.24499307834269257,0.5053633517565749,0.00017479999223724008
565,0.28705781875029074,0.535777769929185,0.4290862339805826,0.25092809173880815,0.5092688468526033,0.0001656000385992229
570,0.28786841893892634,0.5365337071787069,0.4294646334304207,0.24881284599221398,0.5079953807469753,0.00016160000814124942
575,0.28287717942823,0.5318619928404642,0.4258249474271845,0.26183739038937714,0.5190457875943271,0.0001677999971434474
580,0.2850252418932093,0.5338775532771624,0.427358227249191,0.256232062317453,0.515316494075096,0.00015949999215081334
585,0.2827161206277465,0.5317105609518645,0.42503056294498387,0.2622576702603302,0.5201464542845985,0.00016730005154386163
590,0.28575513501535943,0.5345606934814413,0.42769177171521044,0.254327420123013,0.5132176406231558,0.00016340002184733748
595,0.2844163217384123,0.5333069676447255,0.4259530482038835,0.2578210278586748,0.5166809266423692,0.00016060000052675605
600,0.2842150548837011,0.5331182372454548,0.42706899705501616,0.2583462298809872,0.5169363683080619,0.00014899997040629387
605,0.2833802083017849,0.532334676967211,0.4279231900809062,0.26052474612884213,0.5187842173111773,0.0001618000096641481
610,0.28016599406879106,0.529307088625111,0.4257662168284791,0.26891217692432023,0.5258314340786413,0.00016330002108588815
615,0.28541435322871933,0.53424184900541,0.4286534661326861,0.25521668370179473,0.5146010454750741,0.0001650999765843153
620,0.28623003780325884,0.5350047082066277,0.42760329511326867,0.2530881703470652,0.5135844986220991,0.000166199984960258
625,0.2835595613929247,0.5325031092800536,0.4257591088834952,0.26005672765501164,0.5187203242719485,0.00016140000661835074
630,0.2853788319947622,0.5342086034450982,0.42715886336569586,0.2553093756849635,0.5139147394645435,0.00015879998682066798
635,0.28272997822106816,0.5317235919357615,0.42576320878640783,0.26222150913460807,0.5197280058117171,0.00016099994536489248
640,0.28528624023579874,0.5341219338651042,0.4292078348705503,0.2555509921156811,0.5138738754907447,0.00015550001990050077
645,0.27996956294596126,0.5291215011185628,0.42496947703883503,0.26942476019643113,0.525058380942332,0.00016080000204965472
650,0.27799926340358005,0.52725635454073,0.4222360482200648,0.27456621930903413,0.5295524886321873,0.00015330000314861536
655,0.27912701682518043,0.5283247266834862,0.4220012205016182,0.2716233682442417,0.5270694145350948,0.00016910000704228878
660,0.2798377462396243,0.5289969246031817,0.42190377501618126,0.2697687333799046,0.5252294457491002,0.00016900000628083944
665,0.28113973499501366,0.5302261168548883,0.42300184257281553,0.26637121853157186,0.5226631338236537,0.00017359998309984803
670,0.2813510449024498,0.5304253433825064,0.42251963171521034,0.2658198093545401,0.5218567327110544,0.00016300001880154014
675,0.27746148272347143,0.5267461273929515,0.4205856916990292,0.27596954774658977,0.5301469939117999,0.00014519999967887998
680,0.27921414880091827,0.5284071808756182,0.42188250478964395,0.2713959990138176,0.5261675550271541,0.00015860004350543022
