n_samples,mse,rmse,mae,r2,pearson_r,sampling_time_seconds
50,0.3857468275044133,0.621085201485604,0.5029450361748342,0.3104510220499048,0.5672409042513687,
55,0.39819852564464536,0.6310297343585684,0.5193480055862154,0.288192755450831,0.5597261756051026,0.00012969999806955457
60,0.38828402925620664,0.6231244091320822,0.515262196500221,0.3059155994616729,0.5992444862952817,0.00013589998707175255
65,0.38998046246920015,0.6244841571002423,0.5139149050428728,0.30288310844742883,0.5687795554552352,0.000139000010676682
70,0.394799556401789,0.6283307698989354,0.5154582857980387,0.29426864668410013,0.5629270719890066,0.00020359997870400548
75,0.3872941193002797,0.622329590571009,0.5095385074485911,0.30768513157367516,0.5683459415851227,0.00013619998935610056
80,0.39218671165025965,0.6262481230712469,0.5108245471861602,0.29893928633554023,0.567092188219549,0.00012719997903332114
85,0.4101078886482539,0.6403966650820833,0.5193379959586464,0.26690395019920266,0.5501261355288596,0.00011979998089373112
90,0.3908120514118831,0.6251496232198201,0.5093174798112431,0.30139658603268504,0.5734405133760115,0.0001433999859727919
95,0.4085748090327639,0.6391985677649504,0.5204261540723757,0.2696444354257861,0.5596460538509027,0.00021460000425577164
100,0.4009462750793563,0.6332031862517404,0.5193509891147791,0.28328096440221584,0.5667867438856069,0.00014730001566931605
105,0.387815063256841,0.6227479933784139,0.5114856498100275,0.30675390843143935,0.5787450182728175,0.00014459999511018395
110,0.38229607797172926,0.618300960675082,0.5041862560737845,0.31661947411163127,0.5800798539808482,0.00014289998216554523
115,0.3762020143513424,0.6133530910913733,0.4997157811174586,0.3275130318582664,0.5840518341068922,0.00013460003538057208
120,0.3716256555749921,0.6096110691047137,0.4950787982738674,0.3356935878394537,0.5885675672205393,0.00013240001862868667
125,0.37106806114691415,0.6091535612199227,0.49399836876701664,0.33669032621959616,0.5916942963472611,0.00012809998588636518
130,0.34152850361497566,0.5844044007491522,0.47445911063723756,0.3894943164352076,0.631790974051386,0.00013150001177564263
135,0.33414208651126653,0.5780502456631833,0.46695666308226524,0.402698044894951,0.6415517261010688,0.00013580004451796412
140,0.3317586105470246,0.5759849047909369,0.46368960380121543,0.4069586720678158,0.6464280425042199,0.00013559998478740454
145,0.3326968504317176,0.5767987954492603,0.4661014746175414,0.40528150376095606,0.6419166239558269,0.0001344000338576734
150,0.33247901181965483,0.5766099303859195,0.46718643152085637,0.40567090525850746,0.6430932239914852,0.00020540005061775446
155,0.33081659923667023,0.5751665839012818,0.46286261713654697,0.4086425820573667,0.6458586455484203,0.00012139999307692051
