n_samples,mse,rmse,mae,r2,pearson_r,sampling_time_seconds
50,0.3723785943669298,0.610228313311444,0.48387508167983057,0.3334895027098218,0.5782461689243886,
55,0.3899141914134181,0.624431094207694,0.49859781970197736,0.30210300605148166,0.5553693681761585,0.0001183999702334404
60,0.40924278580349444,0.6397208655370672,0.5119436258713559,0.2675072713510178,0.5284077972594236,0.0001411999692209065
65,0.39877043762941533,0.6314827294783408,0.5027341002884745,0.2862514475600927,0.5399998071221161,0.00011199997970834374
70,0.4051830833180079,0.6365399306547924,0.5021771102636158,0.27477362436750075,0.5344862709028491,0.00012639997294172645
75,0.3945841132261644,0.6281593056113747,0.4971782839140113,0.29374443776424874,0.5618963202852141,0.0001235000090673566
80,0.38579650584803177,0.621125193377335,0.49175213344717517,0.3094731414335544,0.5750621856084911,0.00011550000635907054
85,0.3898976216574336,0.6244178261848661,0.4954465281443503,0.30213266381502735,0.5675421817910022,0.000109999964479357
90,0.3876759736395676,0.6226363092846157,0.49840209255418083,0.30610913224686354,0.58008922546007,0.00012450001668184996
95,0.3922577290244639,0.6263048211729364,0.5007814218464971,0.2979083706933139,0.5798579691422528,0.0001227000029757619
100,0.38989008571334194,0.6244117917795451,0.5007381051707345,0.3021461522000206,0.5836277027603525,0.0001487999688833952
105,0.3960780942518669,0.6293473557995353,0.5048592936287005,0.2910704010407472,0.5816329232677744,0.00012719997903332114
110,0.3956666137689125,0.6290203603770808,0.5040927936729378,0.29180689896374246,0.5905298166961013,0.00012969999806955457
115,0.3849581605927303,0.6204499662283255,0.4979335503914689,0.31097367320810987,0.5915740884415525,0.00012939999578520656
120,0.3888793685801132,0.6236019311869657,0.49844851811824864,0.3039552077936518,0.6003133071477933,0.0001265000319108367
125,0.3740864268475771,0.611626051478824,0.493419543099548,0.33043269898054284,0.6098360112271086,0.00020619999850168824
130,0.37854536098436325,0.6152604009558581,0.4981664854750847,0.3224517718975938,0.6004842851516334,0.00012619997141882777
135,0.37508993334706625,0.61244586156416,0.4967431978781356,0.328636549507597,0.6108866845561666,0.00012240000069141388
140,0.3781841023674605,0.6149667489933586,0.4996815417574011,0.32309837904431116,0.6086414756808807,0.00012480001896619797
145,0.358973748906592,0.5991441803995028,0.4896988714253107,0.35748247746460593,0.6271115738375165,0.00011559994891285896
150,0.36567101896957194,0.604707382929605,0.49318660396926556,0.34549521270855277,0.6159324250488623,0.00011849997099488974
155,0.3622071963714204,0.601836519639196,0.486626192428644,0.3516950162347029,0.6202449439820066,0.00011710001854225993
160,0.3584578612616257,0.5987135051605448,0.48370934293276835,0.35840585097746025,0.6289817517440695,0.00011900003300979733
165,0.36156614761900613,0.6013037066400024,0.48187814872790957,0.3528424122698731,0.6172524724337299,0.00011960003757849336
170,0.3655368000162176,0.6045963943129479,0.48668139925881354,0.3457354476272597,0.61138388016598,0.00012129999231547117
175,0.37459497834965305,0.6120416475613837,0.48990525559598863,0.32952245623384957,0.596862751671872,0.00013070000568404794
180,0.3766568242472275,0.61372373609567,0.49594638386954804,0.32583201334772083,0.5935021785715944,0.00012560002505779266
185,0.36860110732995,0.607125281412288,0.4858180713001694,0.34025072583491844,0.6052908831108327,0.00012420001439750195
190,0.3645905993304167,0.6038133812117918,0.4803727382064972,0.3474290269553132,0.6083040832040555,0.00013449997641146183
195,0.3609528243797139,0.6007934956203453,0.48019622477135593,0.35394018314984343,0.6105195669505951,0.0001238000113517046
200,0.35433890334773566,0.5952637258793245,0.47599042303389827,0.36577826370212674,0.6241245687193246,0.00011979998089373112
205,0.3731719643436326,0.6108780273865091,0.4844201957435028,0.3320694709848344,0.5989895336492789,0.00011809996794909239
