n_samples,mse,rmse,mae,r2,pearson_r,sampling_time_seconds
50,0.4884950994419852,0.6989242444228024,0.46318376724137933,0.12344837481692739,0.3925891706461167,
55,0.4864680811028993,0.6974726382467625,0.4602969168045976,0.12708564000429834,0.39912632521959435,0.00013480003690347075
60,0.4965043578681002,0.7046306535115402,0.47344507170114947,0.10907662677290009,0.365234673257589,0.00014159997226670384
65,0.4902087357372944,0.70014908108009,0.470513347770115,0.12037343981483262,0.3779108426465758,0.00015999999595806003
70,0.4822907140467794,0.6944715358074652,0.46819662087356323,0.13458147340408255,0.39504368218925356,0.00015760003589093685
75,0.4915837779586876,0.7011303573221513,0.47376700422988505,0.11790607525941665,0.3793635823353068,0.00013940001372247934
80,0.4859309588785985,0.697087482945002,0.4636376484597701,0.128049447746015,0.39151013370660886,0.00014630000805482268
85,0.4972596766627713,0.7051664177077431,0.4660997075172414,0.10772128888362209,0.37133872546862107,0.00015089998487383127
90,0.5097550089056243,0.7139712941747899,0.4735599516091954,0.08529976654453053,0.3478761868564731,0.00014650000957772136
95,0.5056630697861468,0.7110999014105872,0.4736581137011494,0.09264230875104484,0.35273010171688135,0.00021169998217374086
100,0.5035963342983188,0.7096452172024545,0.4743775051494253,0.09635084206642208,0.35937079514927395,0.00015050004003569484
105,0.5086893889802114,0.7132246413159121,0.4691260809195403,0.08721190625384412,0.35714039524564617,0.00014680001186206937
110,0.5199048980129339,0.7210443107139352,0.47046249202298857,0.06708688825239773,0.3384589355907862,0.0004787000361829996
115,0.5219571321032282,0.722466007576293,0.4684963610344828,0.06340437612656791,0.33816383581478815,0.00014599994756281376
120,0.5170911086331936,0.7190904731904002,0.4717508922758621,0.07213592898290189,0.3427602339990473,0.00013559998478740454
125,0.5216055718312417,0.7222226608402991,0.4764681786206897,0.06403521301338944,0.32829128340740055,0.000139000010676682
130,0.495521768748741,0.7039330712139763,0.4724172011954023,0.11083977668053557,0.3735727105632704,0.00014030002057552338
135,0.4950180290680995,0.7035751765576295,0.46615616457471265,0.1117436830579791,0.3806786772539419,0.00014340004418045282
140,0.5002503995932268,0.7072838182746914,0.46895296480459775,0.10235476003173061,0.37112192459354204,0.0001346999779343605
145,0.48716632551698597,0.697973012026243,0.4700184565747126,0.12583271591838263,0.38851126333904845,0.0001398000167682767
150,0.4908132071539721,0.7005806214519298,0.47272734498850577,0.11928878123121367,0.37964407798532307,0.00013010000111535192
155,0.4868129422407924,0.6977198164312036,0.4731165212413793,0.1264668239890957,0.38733444458475924,0.0001362999901175499
160,0.49672166040364174,0.7047848326997692,0.4771510636321839,0.10868670087414911,0.36860139802665354,0.00013210001634433866
165,0.49199258350535585,0.7014218299321427,0.4745110405057471,0.11717251791825756,0.3781730676480346,0.00014020001981407404
170,0.4652453758567435,0.6820889794277163,0.46792791777011494,0.16516748933205905,0.4190728942328855,0.0001382000045850873
175,0.4664293933487718,0.6829563626973335,0.46721630094252875,0.16304289799415594,0.41761681542675333,0.00013719999697059393
180,0.46312498277109837,0.6805328667824195,0.47377738154022997,0.16897230540364783,0.4186228221830728,0.00013400003081187606
185,0.46109849146332416,0.6790423340730121,0.4681967745057472,0.17260862489032847,0.42479426725616576,0.00013489997945725918
190,0.45731759304376257,0.6762526103785201,0.46747162652873564,0.17939303819990848,0.4310038491410299,0.00013800000306218863
195,0.45974061770494973,0.6780417521841481,0.46445152859770117,0.17504518249562717,0.4301248041295302,0.00013770000077784061
200,0.47033275890084225,0.6858081064706382,0.47666442080459775,0.1560387306601143,0.40673854404047416,0.00013100000796839595
205,0.46065735362550375,0.6787174328286432,0.4697257076091954,0.1734001990312214,0.4265039452442079,0.00013319996651262045
210,0.4742517802285771,0.6886594080012101,0.4773304086206897,0.14900647072981565,0.40185040781341036,0.00013880000915378332
215,0.45895310413523493,0.6774607768241899,0.4666204665977011,0.17645829042685468,0.42996159587037286,0.00014179997378960252
220,0.45235186434830255,0.672571084977865,0.46629730080459775,0.18830350130014395,0.44205071584585215,0.00017370004206895828
225,0.4523377620429518,0.6725606010189356,0.4654582226436782,0.18832880636193106,0.44169602140563347,0.00013639999087899923
230,0.44622109465322807,0.6679978253357027,0.45912159,0.1993045044749545,0.4539860328013488,0.00014239997835829854
235,0.45913171757534127,0.6775925896697376,0.4657244425517242,0.17613778792563495,0.4307841035207788,0.00013669999316334724
240,0.45103429279823826,0.6715908671194377,0.4646903435402299,0.19066774095131578,0.44441612227780336,0.00013729999773204327
245,0.4529742342868958,0.673033605614828,0.4668336954712644,0.18718672575467343,0.4409872802068957,0.00013890000991523266
250,0.4521204048377692,0.6723989922938383,0.467108365678161,0.18871883035944026,0.4426806468618658,0.00013699999544769526
255,0.4546692892042257,0.6742916944499804,0.4694880754712644,0.1841451330257856,0.4381165981085572,0.00014160003047436476
260,0.45596820157867257,0.6752541755359034,0.46674365452873573,0.18181437524726873,0.4359442359313993,0.00013890000991523266
265,0.44518478000880973,0.6672216873040098,0.46076782751724144,0.20116405902689083,0.4554216836846843,0.0001362999901175499
